order_id,customer_id,order_date,order_status,shipping_city,shipping_state,total_amount
47,4605,2025-05-18,Delivered,Hyderabad,Tamil Nadu,4875.77
48,3151,2025-02-25,Cancelled,Kolkata,Delhi,920.56
49,28008,2025-10-02,Delivered,Pune,Delhi,9584.61
50,33727,2025-07-26,Delivered,Bengaluru,Delhi,3324.49
51,10811,2024-05-11,Delivered,Delhi,Telangana,19201.03
52,35921,2025-11-04,Shipped,Bengaluru,Telangana,167.57
53,3093,2025-08-19,Processing,Kolkata,Maharashtra,12525.04
54,24470,2025-09-09,Shipped,Hyderabad,Manipur,3429.75
55,32706,2025-12-16,Delivered,Bengaluru,Tamil Nadu,2166.57
56,38672,2025-03-07,Delivered,Hyderabad,Tamil Nadu,26337.66
57,11165,2024-05-16,Cancelled,Jaipur,West Bengal,5440.24
58,4379,2024-12-23,Delivered,Guwahati,Maharashtra,4867.18
59,986,2025-02-18,Delivered,Imphal,West Bengal,11868.89
60,14427,2025-10-30,Cancelled,Jaipur,Tamil Nadu,9903.54
61,37889,2025-04-07,Delivered,Kolkata,Delhi,4182.08
62,10047,2024-10-12,Delivered,Imphal,Delhi,6901.69
63,24340,2025-03-17,Delivered,Hyderabad,Telangana,2141.41
64,49151,2024-06-11,Shipped,Chennai,Manipur,1941.24
65,21340,2024-06-30,Delivered,Jaipur,Delhi,5707.09
66,31116,2024-10-05,Delivered,Pune,Rajasthan,11151.12
67,24291,2024-07-04,Delivered,Pune,Manipur,1664.09
68,31001,2024-08-28,Shipped,Guwahati,Karnataka,5190.28
69,28249,2025-05-27,Delivered,Delhi,Telangana,4574.52
70,43300,2025-10-21,Delivered,Imphal,Tamil Nadu,5259.62
71,1564,2025-02-23,Delivered,Delhi,Rajasthan,6602.58
72,29895,2025-04-30,Cancelled,Chennai,West Bengal,6048.36
73,34632,2024-07-27,Delivered,Bengaluru,Assam,11972.93
74,32410,2024-05-28,Delivered,Hyderabad,Karnataka,17224.28
75,31502,2025-05-15,Delivered,Jaipur,Maharashtra,5039.93
76,2807,2025-09-08,Delivered,Imphal,Assam,3870.9
77,32704,2024-05-30,Delivered,Kolkata,Assam,11756.77
78,11219,2025-11-27,Delivered,Guwahati,Tamil Nadu,8114.96
79,15188,2024-11-18,Delivered,Kolkata,Delhi,4214.65
80,24128,2024-06-20,Delivered,Mumbai,Assam,12907.53
81,9340,2025-02-07,Delivered,Mumbai,Tamil Nadu,59.48
82,42704,2025-01-22,Delivered,Jaipur,Karnataka,12675.13
83,15041,2024-06-24,Delivered,Delhi,West Bengal,5815.44
84,27670,2025-10-14,Shipped,Kolkata,Karnataka,10424.52
85,19826,2024-06-08,Shipped,Kolkata,Karnataka,6184.61
86,47564,2025-10-25,Delivered,Mumbai,Manipur,5938.67
87,45713,2024-12-10,Delivered,Chennai,Delhi,12126.95
88,5090,2024-05-13,Shipped,Bengaluru,Rajasthan,9406.13
89,33082,2025-01-09,Delivered,Jaipur,Maharashtra,9908.52
90,44272,2024-10-23,Shipped,Delhi,Tamil Nadu,747.7
91,26897,2024-02-19,Shipped,Bengaluru,Maharashtra,7482.2
92,163,2024-09-17,Shipped,Chennai,Assam,3501.5
93,36559,2024-09-01,Delivered,Hyderabad,Maharashtra,16016.97
94,31413,2025-11-12,Shipped,Pune,Delhi,7897.72
95,34480,2025-06-10,Delivered,Delhi,Maharashtra,10879.14
96,28940,2024-03-11,Shipped,Kolkata,Assam,17659.69
97,33157,2025-01-18,Shipped,Kolkata,Manipur,16370.3
98,32964,2025-05-20,Cancelled,Delhi,Karnataka,14810.07
99,46593,2024-04-24,Delivered,Pune,Maharashtra,8356.85
100,38151,2025-11-05,Shipped,Imphal,Telangana,9986.66
101,31139,2024-06-28,Shipped,Imphal,Assam,2429.53
102,45201,2025-02-10,Delivered,Mumbai,Tamil Nadu,395.15
103,28074,2024-07-17,Delivered,Chennai,Karnataka,7277.8
104,33076,2025-02-01,Delivered,Hyderabad,Rajasthan,5056.03
105,25860,2025-04-27,Delivered,Bengaluru,Delhi,10311.82
106,37796,2024-09-11,Delivered,Hyderabad,Telangana,13721.51
107,49375,2025-01-13,Delivered,Hyderabad,Maharashtra,7507.79
108,6326,2025-09-17,Shipped,Guwahati,Tamil Nadu,16857.96
109,44377,2024-08-23,Shipped,Imphal,Rajasthan,9103.69
110,3010,2024-11-26,Shipped,Hyderabad,Rajasthan,7273.12
111,43806,2025-02-04,Delivered,Chennai,West Bengal,1800.87
112,3870,2025-04-23,Delivered,Delhi,Rajasthan,24693.39
113,12387,2024-09-12,Delivered,Kolkata,Manipur,14512.81
114,34809,2024-07-24,Delivered,Hyderabad,Telangana,7934.15
115,29031,2024-05-19,Cancelled,Guwahati,Assam,3096.77
116,45446,2025-11-12,Shipped,Mumbai,Maharashtra,20057.76
117,2286,2025-03-07,Delivered,Hyderabad,Assam,23243.09
118,28315,2025-06-13,Delivered,Mumbai,Karnataka,3766.82
119,37689,2024-11-23,Delivered,Guwahati,Telangana,21525.85
120,20774,2025-01-19,Delivered,Delhi,Assam,12003.76
121,9285,2024-11-16,Delivered,Mumbai,Rajasthan,10782.72
122,19956,2024-10-22,Delivered,Guwahati,Rajasthan,7569.11
123,6575,2024-01-07,Delivered,Guwahati,Karnataka,5580.1
124,8119,2024-07-02,Delivered,Delhi,Karnataka,5024.96
125,48092,2024-08-15,Delivered,Mumbai,Rajasthan,7921.52
126,28886,2025-12-15,Delivered,Kolkata,Tamil Nadu,3848.33
127,9127,2024-12-11,Shipped,Jaipur,Telangana,10275.48
128,10807,2024-04-16,Processing,Delhi,West Bengal,9455.42
129,42007,2024-01-09,Delivered,Kolkata,Maharashtra,1232.68
130,26407,2025-09-29,Shipped,Jaipur,Assam,22241.15
131,18135,2025-06-03,Shipped,Mumbai,Rajasthan,6187.87
132,13631,2025-06-23,Delivered,Bengaluru,Karnataka,3623.36
133,31864,2024-06-20,Delivered,Delhi,Assam,15020.28
134,21255,2025-03-07,Delivered,Kolkata,Maharashtra,5949.26
135,11841,2025-11-06,Delivered,Imphal,Rajasthan,3882.2
136,40493,2025-11-17,Delivered,Mumbai,Assam,913.99
137,45480,2025-06-03,Delivered,Hyderabad,Assam,3790.75
138,46047,2024-08-16,Delivered,Delhi,Telangana,9312.01
139,14144,2024-12-22,Delivered,Chennai,Telangana,7735.36
140,42658,2024-11-19,Delivered,Delhi,Manipur,64.5
141,15996,2024-12-22,Delivered,Bengaluru,Manipur,9299.52
142,3103,2025-11-22,Delivered,Kolkata,Manipur,1691.95
143,22035,2025-09-15,Delivered,Imphal,Telangana,4583.09
144,23386,2025-10-15,Delivered,Pune,Rajasthan,14517.07
145,649,2025-01-11,Delivered,Kolkata,Assam,12545.92
146,35715,2025-10-12,Delivered,Bengaluru,Delhi,15832.25
147,42080,2024-01-20,Delivered,Chennai,Karnataka,1128.6
148,44860,2025-05-18,Delivered,Chennai,Delhi,10042.34
149,41318,2025-06-14,Delivered,Pune,Manipur,8072.79
150,13747,2024-12-12,Delivered,Chennai,Karnataka,6127.76
151,36013,2024-11-07,Processing,Pune,Telangana,3463.02
152,23734,2025-09-17,Delivered,Chennai,Delhi,8717.14
153,49080,2024-09-24,Delivered,Chennai,Manipur,3124.3
154,39445,2025-08-20,Delivered,Kolkata,Assam,5172.55
155,34709,2024-06-23,Delivered,Jaipur,Rajasthan,11785.71
156,34409,2024-12-24,Delivered,Bengaluru,Karnataka,9407.66
157,44668,2025-11-25,Processing,Pune,West Bengal,19505.19
158,30278,2024-12-14,Delivered,Mumbai,Rajasthan,16119.35
159,33495,2024-03-04,Delivered,Imphal,Assam,2337.11
160,1770,2024-07-21,Delivered,Hyderabad,Karnataka,2850.3
161,43454,2025-06-28,Delivered,Kolkata,Assam,2517.89
162,34148,2024-07-15,Delivered,Jaipur,Tamil Nadu,2200.69
163,30349,2025-05-01,Delivered,Hyderabad,Manipur,4825.37
164,28928,2024-07-09,Delivered,Chennai,Assam,8575.62
165,38502,2024-03-06,Delivered,Guwahati,Karnataka,6705.46
166,9100,2025-12-16,Delivered,Kolkata,Tamil Nadu,5766.23
167,21057,2025-04-14,Delivered,Bengaluru,Assam,16030.16
168,31237,2024-12-03,Delivered,Jaipur,Telangana,132.57
169,6736,2024-07-09,Delivered,Delhi,West Bengal,1392.92
170,27955,2024-01-10,Delivered,Delhi,Rajasthan,7826.66
171,22971,2024-09-08,Processing,Imphal,Manipur,11256.29
172,36679,2025-01-02,Cancelled,Mumbai,Telangana,2047.54
173,4373,2024-01-03,Delivered,Mumbai,Karnataka,13981.83
174,46546,2025-10-21,Processing,Mumbai,Maharashtra,8330.14
175,36196,2025-06-06,Cancelled,Jaipur,Assam,173.13
176,13599,2024-04-30,Delivered,Mumbai,Assam,13992.88
177,22144,2025-10-04,Delivered,Delhi,Delhi,9081.79
178,42181,2025-02-01,Delivered,Hyderabad,Assam,12154.9
179,26428,2025-06-13,Delivered,Mumbai,Delhi,6006.22
180,33071,2025-05-11,Delivered,Kolkata,West Bengal,4580.88
181,18535,2024-01-09,Delivered,Hyderabad,Delhi,7884.99
182,13309,2025-06-27,Delivered,Delhi,Manipur,1255.03
183,36339,2024-10-09,Shipped,Jaipur,Assam,2893.83
184,26267,2024-04-05,Delivered,Imphal,Tamil Nadu,2174.01
185,9434,2025-06-28,Delivered,Pune,Delhi,5156.59
186,15779,2025-10-03,Delivered,Imphal,Delhi,1403.07
187,22364,2024-10-28,Delivered,Hyderabad,Delhi,7447.76
188,18206,2024-10-23,Cancelled,Delhi,Maharashtra,6111.45
189,31514,2025-10-31,Cancelled,Guwahati,Rajasthan,10607.12
190,27484,2025-05-27,Delivered,Guwahati,West Bengal,7717.38
191,32825,2024-04-24,Delivered,Imphal,West Bengal,2183.34
192,5072,2025-04-29,Delivered,Mumbai,West Bengal,26572.23
193,31435,2025-09-22,Delivered,Guwahati,Rajasthan,10091.6
194,35506,2025-05-05,Delivered,Chennai,Manipur,5962.19
195,39049,2025-03-19,Delivered,Delhi,Assam,7392.02
196,28402,2025-07-06,Cancelled,Hyderabad,Manipur,2001.69
197,18220,2025-06-20,Delivered,Imphal,Telangana,8396.11
198,41389,2025-09-01,Delivered,Imphal,Telangana,11348.8
199,29334,2025-05-03,Cancelled,Pune,Manipur,718.76
200,37347,2024-04-26,Delivered,Bengaluru,Maharashtra,15010.28
201,13069,2024-09-28,Delivered,Imphal,Delhi,8237.39
202,28559,2025-01-17,Delivered,Mumbai,Assam,4498.2
203,7087,2025-03-13,Delivered,Jaipur,Assam,607.56
204,4080,2024-06-24,Delivered,Kolkata,Rajasthan,9804.85
205,5841,2025-07-27,Delivered,Pune,Telangana,2093.29
206,40731,2025-07-19,Processing,Hyderabad,Telangana,5212.8
207,37864,2024-02-25,Processing,Imphal,Assam,6834.06
208,36398,2024-07-11,Delivered,Guwahati,Manipur,3561.96
209,26327,2024-04-24,Delivered,Delhi,Karnataka,11892.48
210,42632,2025-07-18,Delivered,Bengaluru,Manipur,1499.39
211,13069,2024-06-10,Delivered,Mumbai,West Bengal,21175.21
212,46404,2024-03-12,Delivered,Guwahati,Assam,7755.72
213,11679,2024-08-13,Delivered,Imphal,Maharashtra,686.52
214,41766,2025-11-10,Delivered,Chennai,Tamil Nadu,18897.74
215,30735,2024-07-11,Shipped,Guwahati,Tamil Nadu,4241.94
216,18757,2025-11-03,Processing,Imphal,West Bengal,449.49
217,36003,2024-01-10,Delivered,Mumbai,Tamil Nadu,1986.73
218,67,2025-07-02,Shipped,Hyderabad,Rajasthan,17590.82
219,9681,2024-02-08,Delivered,Hyderabad,Manipur,1758.42
220,10961,2025-02-21,Processing,Mumbai,Telangana,8407.73
221,24377,2025-08-30,Delivered,Pune,Rajasthan,4965.27
222,2473,2025-04-08,Delivered,Hyderabad,Manipur,12645.96
223,42949,2024-02-07,Delivered,Pune,Delhi,12531.13
224,1381,2025-01-18,Delivered,Kolkata,Rajasthan,2229.06
225,41249,2025-02-15,Delivered,Guwahati,Assam,2978.31
226,17712,2025-09-27,Delivered,Mumbai,Delhi,8416.12
227,22340,2024-03-11,Delivered,Chennai,Telangana,4957.48
228,44080,2024-04-08,Cancelled,Imphal,Manipur,17763.28
229,25046,2025-06-30,Processing,Chennai,Delhi,5787.96
230,27832,2024-10-20,Delivered,Guwahati,Delhi,6223.23
231,30782,2025-05-25,Delivered,Pune,Maharashtra,1851.11
232,11737,2025-10-24,Delivered,Pune,Telangana,3866.09
233,6518,2025-10-09,Delivered,Guwahati,Telangana,4746.34
234,18567,2024-05-06,Delivered,Mumbai,Telangana,7631.82
235,6503,2024-12-29,Delivered,Pune,Tamil Nadu,6347.25
236,42971,2025-08-22,Delivered,Bengaluru,West Bengal,812.8
237,44169,2024-11-06,Delivered,Jaipur,Rajasthan,23311.42
238,48391,2025-03-28,Delivered,Pune,Rajasthan,6271.68
239,35615,2025-11-01,Delivered,Kolkata,Telangana,4192.44
240,46261,2024-03-24,Delivered,Bengaluru,Telangana,12435.42
241,16385,2025-08-16,Processing,Chennai,Telangana,21150.27
242,25029,2024-03-10,Shipped,Imphal,Assam,7556.67
243,39961,2024-10-19,Shipped,Kolkata,Assam,7713.64
244,47146,2025-05-25,Delivered,Kolkata,Telangana,810.97
245,9311,2024-09-17,Delivered,Guwahati,Tamil Nadu,7577.8
246,5510,2024-08-24,Delivered,Guwahati,West Bengal,642.78
247,26428,2024-12-31,Delivered,Kolkata,Telangana,10299.72
248,28847,2025-06-15,Delivered,Jaipur,Rajasthan,4299.04
249,20986,2025-03-10,Delivered,Guwahati,Manipur,13260.68
250,39498,2024-11-06,Delivered,Delhi,Karnataka,2001.19
251,44243,2025-01-03,Delivered,Chennai,Assam,7380.73
252,18613,2024-10-27,Delivered,Delhi,Karnataka,20116.27
253,32662,2025-07-19,Delivered,Pune,Rajasthan,9857.34
254,28759,2024-04-17,Delivered,Kolkata,Assam,13456.85
255,8599,2025-07-05,Delivered,Kolkata,Tamil Nadu,6568.3
256,36450,2024-02-21,Delivered,Delhi,West Bengal,1990.36
257,48417,2025-08-20,Delivered,Bengaluru,Telangana,8258.62
258,8904,2025-11-26,Delivered,Kolkata,Telangana,1913.73
259,26504,2024-06-29,Processing,Kolkata,Karnataka,8090.79
260,8796,2025-12-02,Delivered,Imphal,West Bengal,10810.07
261,29182,2024-10-15,Shipped,Delhi,Tamil Nadu,5273.1
262,4292,2025-01-20,Delivered,Imphal,Delhi,20022.87
263,30111,2024-07-14,Delivered,Hyderabad,West Bengal,7507.29
264,36359,2025-07-08,Cancelled,Bengaluru,Assam,1108.31
265,43291,2025-04-24,Delivered,Delhi,Delhi,1571.5
266,14752,2024-07-17,Shipped,Hyderabad,West Bengal,3757.33
267,35582,2025-07-25,Delivered,Kolkata,Telangana,4296.21
268,27390,2025-05-02,Processing,Hyderabad,Maharashtra,13205.7
269,9476,2024-03-19,Delivered,Delhi,Delhi,7207.91
270,45504,2025-12-10,Delivered,Kolkata,Telangana,8025.54
271,46102,2025-04-18,Shipped,Pune,Telangana,8418.09
272,47236,2025-04-11,Delivered,Mumbai,Karnataka,633.04
273,19239,2025-12-16,Shipped,Hyderabad,Maharashtra,16841.78
274,15168,2024-12-17,Cancelled,Mumbai,Delhi,14311.0
275,4055,2025-10-11,Delivered,Imphal,Manipur,31152.09
276,32653,2025-10-11,Delivered,Jaipur,Delhi,450.48
277,36136,2025-12-10,Delivered,Hyderabad,Delhi,7067.19
278,45030,2024-07-16,Delivered,Hyderabad,West Bengal,10024.98
279,16178,2024-02-08,Delivered,Mumbai,Tamil Nadu,17225.61
280,39873,2025-02-06,Delivered,Chennai,Manipur,3458.4
281,5587,2024-10-21,Delivered,Jaipur,Karnataka,8636.24
282,14766,2025-06-03,Delivered,Pune,Manipur,21893.35
283,12516,2024-05-17,Delivered,Hyderabad,West Bengal,15176.21
284,41901,2025-02-12,Delivered,Kolkata,Delhi,11437.89
285,46241,2025-05-18,Processing,Kolkata,Telangana,14294.49
286,661,2024-07-09,Cancelled,Kolkata,West Bengal,14272.57
287,1790,2025-02-14,Delivered,Hyderabad,Delhi,7537.04
288,1220,2025-05-22,Delivered,Bengaluru,Rajasthan,563.95
289,5937,2025-06-02,Delivered,Imphal,Karnataka,3721.76
290,35251,2024-12-28,Delivered,Chennai,Karnataka,2565.93
291,4455,2025-09-29,Delivered,Chennai,Manipur,8857.09
292,14799,2025-12-19,Cancelled,Kolkata,Assam,11816.41
293,27304,2024-01-09,Cancelled,Mumbai,Assam,9790.91
294,45842,2025-12-03,Processing,Kolkata,Rajasthan,3689.04
295,29903,2025-12-31,Delivered,Mumbai,West Bengal,20967.45
296,4399,2025-05-11,Delivered,Pune,Rajasthan,1034.45
297,38291,2024-02-28,Delivered,Guwahati,Tamil Nadu,710.29
298,41583,2024-06-20,Delivered,Mumbai,West Bengal,24827.66
299,8381,2025-07-08,Delivered,Imphal,Manipur,4936.63
300,48399,2025-12-05,Delivered,Hyderabad,Manipur,10695.26
301,36129,2025-06-12,Delivered,Delhi,Manipur,15250.16
302,24063,2024-09-10,Delivered,Delhi,Maharashtra,25594.54
303,2826,2024-11-22,Shipped,Hyderabad,Maharashtra,356.43
304,34225,2024-09-16,Delivered,Mumbai,Maharashtra,7576.57
305,4385,2025-12-25,Delivered,Hyderabad,Tamil Nadu,4674.64
306,18178,2025-07-23,Delivered,Bengaluru,Maharashtra,1523.23
307,32703,2025-07-01,Delivered,Jaipur,Manipur,2596.17
308,32057,2025-04-26,Delivered,Kolkata,Rajasthan,6449.63
309,45820,2025-09-23,Cancelled,Hyderabad,Maharashtra,5174.66
310,34478,2025-03-26,Processing,Guwahati,Telangana,2523.65
311,18806,2024-07-10,Delivered,Imphal,Manipur,8901.39
312,48692,2024-01-11,Delivered,Chennai,Manipur,20905.34
313,933,2024-10-20,Delivered,Bengaluru,Assam,14497.92
314,22573,2025-01-08,Delivered,Mumbai,Assam,6475.62
315,39516,2025-09-26,Shipped,Delhi,Rajasthan,15754.42
316,25807,2025-06-17,Delivered,Imphal,Assam,1182.71
317,19867,2025-07-14,Delivered,Mumbai,West Bengal,2526.91
318,759,2024-03-31,Delivered,Chennai,Karnataka,11652.53
319,36333,2024-05-23,Delivered,Guwahati,Telangana,7320.47
320,7427,2024-01-19,Delivered,Chennai,Delhi,269.31
321,7461,2025-12-02,Delivered,Bengaluru,Telangana,2886.95
322,26204,2024-01-22,Delivered,Jaipur,Tamil Nadu,4399.09
323,48512,2025-02-08,Delivered,Delhi,Telangana,8032.95
324,28424,2024-09-30,Shipped,Chennai,Telangana,14591.17
325,43860,2025-09-01,Delivered,Guwahati,Assam,14007.43
326,13375,2024-09-14,Shipped,Delhi,West Bengal,6554.79
327,26152,2024-10-31,Shipped,Bengaluru,Assam,14931.13
328,13720,2024-05-02,Delivered,Imphal,West Bengal,5179.09
329,38098,2025-05-11,Delivered,Delhi,Telangana,6253.33
330,18956,2025-04-16,Delivered,Hyderabad,Tamil Nadu,9946.12
331,24502,2024-05-11,Delivered,Jaipur,Karnataka,17246.89
332,46587,2024-01-05,Delivered,Kolkata,Assam,6323.5
333,37331,2024-08-07,Delivered,Pune,Karnataka,13960.06
334,8209,2025-12-14,Delivered,Jaipur,Telangana,10296.25
335,12470,2024-12-07,Cancelled,Jaipur,Assam,13810.87
336,15607,2024-04-06,Shipped,Bengaluru,Maharashtra,6043.6
337,44321,2025-12-09,Delivered,Hyderabad,Maharashtra,2700.76
338,11961,2024-09-25,Delivered,Delhi,Maharashtra,7193.43
339,34928,2024-07-01,Delivered,Chennai,Telangana,2436.93
340,38678,2024-07-03,Shipped,Mumbai,Manipur,3251.38
341,30358,2024-06-11,Delivered,Chennai,Manipur,20015.28
342,7956,2025-05-30,Delivered,Mumbai,Rajasthan,2830.07
343,12038,2025-02-26,Delivered,Guwahati,Manipur,11992.66
344,44152,2025-03-27,Delivered,Kolkata,Assam,7965.63
345,26660,2024-11-23,Delivered,Bengaluru,Delhi,1857.77
346,38050,2025-12-19,Delivered,Chennai,Rajasthan,5019.81
347,959,2024-06-15,Cancelled,Imphal,Telangana,1304.52
348,30523,2024-11-03,Delivered,Bengaluru,Maharashtra,10580.55
349,32675,2025-12-10,Delivered,Hyderabad,Tamil Nadu,4552.25
350,32456,2024-07-02,Processing,Delhi,Delhi,11034.84
351,906,2024-09-13,Delivered,Guwahati,Tamil Nadu,8439.82
352,36692,2025-10-21,Delivered,Mumbai,West Bengal,6767.41
353,40389,2025-03-15,Delivered,Hyderabad,West Bengal,6437.61
354,26037,2024-09-23,Delivered,Mumbai,Tamil Nadu,21778.01
355,13301,2024-03-31,Delivered,Chennai,Tamil Nadu,4571.4
356,34014,2024-09-20,Cancelled,Chennai,Assam,5500.26
357,14102,2024-01-19,Delivered,Bengaluru,Telangana,1915.21
358,43026,2024-05-06,Shipped,Jaipur,Maharashtra,8292.33
359,25004,2024-07-20,Delivered,Mumbai,Tamil Nadu,18754.13
360,15203,2025-03-05,Delivered,Jaipur,Assam,1333.29
361,31859,2024-08-08,Delivered,Mumbai,West Bengal,17136.49
362,44336,2024-10-09,Delivered,Guwahati,Karnataka,4091.17
363,35886,2025-04-25,Processing,Hyderabad,West Bengal,8050.14
364,27942,2024-07-25,Delivered,Jaipur,Rajasthan,14982.68
365,9425,2025-04-28,Delivered,Pune,Assam,22169.88
366,26457,2024-03-10,Delivered,Bengaluru,Tamil Nadu,4308.76
367,34736,2025-05-22,Delivered,Bengaluru,West Bengal,8911.53
368,32241,2025-09-29,Delivered,Guwahati,Telangana,11058.07
369,19997,2024-10-18,Delivered,Hyderabad,Maharashtra,8708.9
370,24760,2025-08-17,Delivered,Jaipur,Assam,2676.88
371,28876,2024-01-31,Delivered,Guwahati,Telangana,7498.92
372,37554,2025-11-20,Delivered,Delhi,Rajasthan,9733.66
373,17620,2024-10-09,Delivered,Pune,Delhi,1511.64
374,12891,2025-03-06,Shipped,Hyderabad,Manipur,15103.57
375,13414,2025-05-07,Shipped,Guwahati,Assam,25036.98
376,20018,2024-01-27,Delivered,Pune,Tamil Nadu,6219.7
377,13154,2024-08-14,Delivered,Pune,Manipur,9864.34
378,13722,2024-12-24,Delivered,Mumbai,Manipur,3563.45
379,40033,2025-11-18,Delivered,Guwahati,Delhi,7852.29
380,35247,2025-02-24,Delivered,Delhi,Maharashtra,18727.8
381,25921,2024-06-12,Shipped,Guwahati,Karnataka,5291.7
382,3343,2025-12-14,Delivered,Kolkata,Rajasthan,1986.95
383,37505,2024-04-22,Delivered,Kolkata,Manipur,6140.62
384,27358,2024-11-01,Delivered,Guwahati,Manipur,297.11
385,6747,2025-10-27,Delivered,Guwahati,Maharashtra,1732.66
386,13639,2024-05-11,Delivered,Chennai,Karnataka,4139.43
387,1287,2024-10-08,Shipped,Delhi,Rajasthan,3523.79
388,3402,2024-04-27,Shipped,Bengaluru,Rajasthan,7721.85
389,48392,2024-02-11,Delivered,Bengaluru,Maharashtra,16169.1
390,8399,2025-08-10,Delivered,Hyderabad,Delhi,7148.67
391,28718,2025-10-20,Processing,Imphal,Rajasthan,2559.63
392,39266,2025-11-25,Delivered,Hyderabad,Assam,14131.7
393,31351,2025-08-10,Delivered,Jaipur,West Bengal,10877.68
394,23589,2024-08-18,Delivered,Kolkata,Assam,11814.81
395,20591,2024-08-07,Delivered,Pune,West Bengal,5147.03
396,29115,2025-09-03,Shipped,Mumbai,Maharashtra,8646.2
397,43860,2025-03-14,Delivered,Guwahati,Rajasthan,7930.92
398,7836,2025-09-14,Delivered,Kolkata,Assam,12363.19
399,28121,2025-12-11,Delivered,Pune,Rajasthan,13626.77
400,45183,2024-07-27,Delivered,Delhi,Rajasthan,2068.34
401,39954,2024-05-02,Shipped,Imphal,Maharashtra,4028.83
402,25330,2024-01-29,Delivered,Jaipur,Telangana,20403.98
403,6627,2025-02-14,Processing,Kolkata,Rajasthan,292.18
404,19994,2024-07-05,Delivered,Delhi,Karnataka,6917.37
405,16399,2024-01-16,Delivered,Chennai,Karnataka,5214.74
406,4734,2025-03-30,Delivered,Jaipur,Maharashtra,4085.29
407,40891,2024-06-28,Delivered,Jaipur,Maharashtra,7651.12
408,6056,2024-12-18,Delivered,Pune,Karnataka,9955.61
409,23384,2025-12-29,Delivered,Pune,Assam,3947.26
410,15502,2024-05-08,Delivered,Guwahati,Delhi,9564.64
411,21121,2024-05-16,Shipped,Hyderabad,Delhi,9806.26
412,14905,2025-03-08,Delivered,Chennai,Karnataka,9195.79
413,8702,2024-08-13,Delivered,Chennai,Manipur,5940.44
414,34712,2024-05-11,Delivered,Bengaluru,Delhi,386.12
415,28148,2025-01-12,Delivered,Pune,Manipur,11688.43
