payment_id,order_id,payment_date,payment_method,payment_amount,payment_status,transaction_id
138,102289,2024-08-24,Credit Card,11756.81,Completed,TXN000000138
139,78605,2024-12-29,UPI,11531.12,Completed,TXN000000139
140,170963,2025-05-22,COD,4693.17,Completed,TXN000000140
141,102106,2024-02-13,UPI,3290.39,Completed,TXN000000141
142,115556,2025-03-15,Debit Card,16746.77,Completed,TXN000000142
143,130174,2025-03-14,UPI,10738.32,Completed,TXN000000143
144,66202,2024-05-12,UPI,14030.38,Completed,TXN000000144
145,88987,2024-10-05,Credit Card,8777.18,Completed,TXN000000145
146,117006,2025-03-30,Credit Card,12509.53,Completed,TXN000000146
147,193348,2024-01-19,Wallet,1492.95,Completed,TXN000000147
148,84109,2024-11-18,Net Banking,12442.17,Completed,TXN000000148
149,12259,2025-05-25,Credit Card,20060.87,Completed,TXN000000149
150,156176,2025-09-22,Credit Card,7590.71,Completed,TXN000000150
151,28071,2025-01-22,COD,12258.61,Completed,TXN000000151
152,92497,2025-08-12,Net Banking,2101.97,Failed,TXN000000152
153,170662,2025-02-16,UPI,7821.12,Completed,TXN000000153
154,138230,2024-08-15,Net Banking,4702.74,Failed,TXN000000154
155,172899,2024-01-31,UPI,16125.92,Completed,TXN000000155
156,15068,2024-06-19,UPI,6710.41,Completed,TXN000000156
157,20881,2024-08-15,Debit Card,8888.06,Pending,TXN000000157
158,66566,2025-04-16,Debit Card,6942.75,Completed,TXN000000158
159,74667,2025-06-17,UPI,20347.29,Completed,TXN000000159
160,48426,2024-01-16,Net Banking,7723.94,Completed,TXN000000160
161,28329,2024-10-25,COD,12205.16,Pending,TXN000000161
162,64349,2024-01-22,Net Banking,1741.49,Pending,TXN000000162
163,25085,2024-03-20,UPI,7687.16,Completed,TXN000000163
164,120286,2025-06-03,UPI,1615.75,Completed,TXN000000164
165,118797,2025-04-22,Credit Card,5975.09,Completed,TXN000000165
166,168496,2024-03-02,Credit Card,1110.73,Completed,TXN000000166
167,71242,2025-10-08,UPI,1108.32,Completed,TXN000000167
168,61761,2025-01-12,COD,17523.89,Completed,TXN000000168
169,142553,2025-11-06,Wallet,14758.74,Completed,TXN000000169
170,12775,2024-09-03,COD,9609.64,Completed,TXN000000170
171,29532,2024-12-13,Debit Card,15518.33,Refunded,TXN000000171
172,169754,2025-04-28,Net Banking,9058.94,Completed,TXN000000172
173,24272,2025-06-24,Debit Card,2112.91,Completed,TXN000000173
174,188673,2025-03-23,Net Banking,11353.57,Completed,TXN000000174
175,34537,2024-09-22,UPI,4653.35,Completed,TXN000000175
176,10318,2025-12-29,Wallet,8786.95,Completed,TXN000000176
177,69453,2024-05-16,UPI,13722.33,Completed,TXN000000177
178,91793,2024-12-10,Wallet,9230.25,Completed,TXN000000178
179,20153,2024-09-05,Credit Card,6900.86,Completed,TXN000000179
180,99316,2024-06-09,Wallet,4862.68,Completed,TXN000000180
181,131606,2025-06-19,UPI,12820.98,Completed,TXN000000181
182,79499,2024-06-18,UPI,737.55,Completed,TXN000000182
183,168305,2025-02-16,Credit Card,7345.69,Completed,TXN000000183
184,151999,2024-08-18,COD,8567.13,Completed,TXN000000184
185,88628,2024-03-05,Credit Card,5773.95,Failed,TXN000000185
186,78494,2025-05-07,UPI,5232.44,Completed,TXN000000186
187,159020,2024-03-18,UPI,9085.55,Completed,TXN000000187
188,125527,2025-09-27,UPI,6400.28,Failed,TXN000000188
189,56855,2025-03-29,Debit Card,7403.1,Completed,TXN000000189
190,21969,2025-03-25,Debit Card,13315.72,Completed,TXN000000190
191,118947,2024-07-16,Debit Card,18178.35,Completed,TXN000000191
192,1811,2024-09-19,Credit Card,4068.49,Completed,TXN000000192
193,141985,2025-06-20,Debit Card,7983.92,Pending,TXN000000193
194,182437,2024-08-29,COD,5882.12,Completed,TXN000000194
195,120990,2025-12-24,Net Banking,12601.52,Completed,TXN000000195
196,57865,2024-04-06,UPI,15857.13,Completed,TXN000000196
197,113670,2025-08-02,Debit Card,4933.54,Completed,TXN000000197
198,66020,2025-06-26,Wallet,5075.22,Refunded,TXN000000198
199,170206,2024-08-28,Net Banking,1303.22,Completed,TXN000000199
200,12103,2024-07-06,UPI,20212.96,Completed,TXN000000200
201,148814,2024-12-20,UPI,3720.31,Completed,TXN000000201
202,113465,2024-01-20,UPI,4240.06,Completed,TXN000000202
203,8742,2024-08-19,COD,22184.23,Completed,TXN000000203
204,137492,2025-06-03,Credit Card,4719.68,Pending,TXN000000204
205,12486,2024-05-16,Debit Card,1073.91,Completed,TXN000000205
206,68246,2025-12-25,Debit Card,5608.57,Completed,TXN000000206
207,165404,2024-02-22,Debit Card,8202.44,Completed,TXN000000207
208,28924,2024-03-29,Net Banking,3935.6,Refunded,TXN000000208
209,191194,2024-03-28,UPI,7089.73,Pending,TXN000000209
210,79332,2025-10-07,Credit Card,16152.34,Completed,TXN000000210
211,41019,2025-06-19,UPI,10575.64,Completed,TXN000000211
212,368,2024-04-08,Debit Card,10763.95,Failed,TXN000000212
213,135253,2025-09-16,UPI,6325.49,Completed,TXN000000213
214,142376,2024-04-22,Net Banking,926.68,Completed,TXN000000214
215,27496,2024-09-03,UPI,2895.95,Completed,TXN000000215
216,130397,2025-12-04,Credit Card,2899.19,Completed,TXN000000216
217,138495,2024-02-08,UPI,9188.42,Completed,TXN000000217
218,4473,2025-02-21,Credit Card,3128.79,Completed,TXN000000218
219,172820,2024-08-21,Credit Card,577.51,Pending,TXN000000219
220,68678,2024-07-21,Credit Card,7272.28,Completed,TXN000000220
221,5630,2024-11-30,COD,2779.78,Completed,TXN000000221
222,2895,2025-09-17,UPI,11061.7,Pending,TXN000000222
223,31755,2025-06-23,Debit Card,8553.81,Refunded,TXN000000223
224,3001,2025-07-31,UPI,2503.28,Completed,TXN000000224
225,43430,2025-10-22,Debit Card,388.52,Failed,TXN000000225
226,89067,2025-01-07,UPI,4966.38,Completed,TXN000000226
227,67068,2025-03-30,Debit Card,17177.04,Completed,TXN000000227
228,6774,2025-02-26,Debit Card,8037.86,Completed,TXN000000228
229,77103,2025-11-16,Debit Card,7871.54,Completed,TXN000000229
230,66696,2024-03-17,UPI,10468.51,Completed,TXN000000230
231,112676,2025-10-20,Credit Card,11573.07,Completed,TXN000000231
232,20793,2024-01-19,Debit Card,6307.62,Completed,TXN000000232
233,150742,2024-08-30,Wallet,9892.56,Completed,TXN000000233
234,135074,2024-12-13,Wallet,3752.53,Completed,TXN000000234
235,187883,2024-12-04,Net Banking,6645.13,Completed,TXN000000235
236,176575,2024-04-25,UPI,5149.7,Completed,TXN000000236
237,110312,2025-11-08,UPI,5084.77,Completed,TXN000000237
238,194189,2025-10-04,Debit Card,8696.73,Completed,TXN000000238
239,134049,2025-03-03,UPI,3189.22,Completed,TXN000000239
240,116780,2024-10-05,Wallet,19008.25,Completed,TXN000000240
241,131801,2025-05-29,Credit Card,7220.69,Completed,TXN000000241
242,82365,2025-11-22,Debit Card,9722.91,Completed,TXN000000242
243,62599,2025-11-18,UPI,17346.48,Failed,TXN000000243
244,31154,2025-10-28,Net Banking,14362.85,Completed,TXN000000244
245,150464,2025-02-20,UPI,16114.52,Completed,TXN000000245
246,185219,2025-07-29,UPI,10700.62,Completed,TXN000000246
247,98371,2025-01-16,UPI,3424.52,Completed,TXN000000247
248,132442,2025-04-11,UPI,21281.93,Completed,TXN000000248
249,34327,2025-08-26,COD,7731.92,Completed,TXN000000249
250,63958,2024-06-27,UPI,10730.54,Completed,TXN000000250
251,84438,2024-04-22,Credit Card,9461.14,Completed,TXN000000251
252,39788,2025-09-06,COD,1959.5,Completed,TXN000000252
253,40527,2024-10-26,COD,3517.65,Completed,TXN000000253
254,115051,2025-08-01,UPI,4723.89,Completed,TXN000000254
255,80916,2024-12-24,Net Banking,12559.95,Completed,TXN000000255
256,71392,2025-01-30,Credit Card,1182.96,Completed,TXN000000256
257,122708,2025-11-07,Debit Card,10906.93,Completed,TXN000000257
258,98601,2024-02-07,UPI,4882.69,Completed,TXN000000258
259,77513,2024-05-11,UPI,7532.71,Completed,TXN000000259
260,195311,2025-06-21,Debit Card,26456.76,Completed,TXN000000260
261,15633,2025-02-28,UPI,7437.84,Completed,TXN000000261
262,50617,2024-07-04,Credit Card,24379.38,Completed,TXN000000262
263,162635,2025-11-12,UPI,4929.34,Completed,TXN000000263
264,175720,2024-01-28,Credit Card,18299.29,Completed,TXN000000264
265,52139,2024-02-12,UPI,129.81,Completed,TXN000000265
266,118328,2024-03-17,Net Banking,2934.19,Completed,TXN000000266
267,136258,2025-05-10,Debit Card,9742.83,Completed,TXN000000267
268,9453,2025-01-18,Net Banking,7474.04,Completed,TXN000000268
269,172759,2025-10-04,Credit Card,12185.09,Completed,TXN000000269
270,160848,2025-11-02,UPI,5674.62,Completed,TXN000000270
271,123457,2024-05-11,UPI,12706.44,Completed,TXN000000271
272,68473,2025-06-15,Debit Card,6870.31,Completed,TXN000000272
273,27861,2025-07-27,Debit Card,4787.93,Completed,TXN000000273
274,45235,2025-01-16,UPI,17906.94,Failed,TXN000000274
275,89923,2024-03-28,Wallet,6138.24,Completed,TXN000000275
276,149910,2025-03-03,UPI,22609.8,Completed,TXN000000276
277,157054,2025-02-21,Debit Card,4038.23,Completed,TXN000000277
278,175009,2025-01-01,COD,9941.28,Completed,TXN000000278
279,128483,2025-05-13,Debit Card,15690.74,Pending,TXN000000279
280,148032,2025-04-21,Net Banking,3957.53,Completed,TXN000000280
281,173609,2025-07-03,Net Banking,16392.91,Completed,TXN000000281
282,187601,2024-09-25,UPI,14584.56,Completed,TXN000000282
283,53585,2025-11-20,UPI,1270.28,Completed,TXN000000283
284,102136,2024-11-13,UPI,526.2,Completed,TXN000000284
285,44470,2024-06-23,UPI,11499.89,Completed,TXN000000285
286,48835,2025-08-25,Net Banking,7996.57,Pending,TXN000000286
287,112104,2025-04-27,Credit Card,3749.02,Completed,TXN000000287
288,172557,2025-08-05,Credit Card,5584.17,Completed,TXN000000288
289,90802,2025-08-05,UPI,25753.36,Completed,TXN000000289
290,82806,2024-02-26,Credit Card,9646.17,Completed,TXN000000290
291,182923,2025-01-30,Net Banking,5066.9,Completed,TXN000000291
292,172797,2024-03-22,Credit Card,11058.43,Completed,TXN000000292
293,2161,2024-01-02,Credit Card,4604.13,Completed,TXN000000293
294,43466,2024-03-16,Wallet,8728.43,Completed,TXN000000294
295,145691,2025-05-25,Credit Card,15595.07,Completed,TXN000000295
296,93448,2025-02-06,Net Banking,5041.18,Completed,TXN000000296
297,83032,2025-02-08,Debit Card,9563.49,Completed,TXN000000297
298,70635,2024-06-21,Debit Card,4418.87,Completed,TXN000000298
299,166249,2025-08-06,Credit Card,5433.45,Completed,TXN000000299
300,177825,2025-01-07,Credit Card,3354.42,Completed,TXN000000300
301,149468,2025-12-15,Credit Card,1639.51,Completed,TXN000000301
302,148792,2025-07-14,Debit Card,546.21,Completed,TXN000000302
303,96234,2025-09-24,Net Banking,8035.79,Completed,TXN000000303
304,137304,2025-07-17,Credit Card,978.7,Completed,TXN000000304
305,179528,2024-07-03,Net Banking,557.49,Completed,TXN000000305
306,47417,2024-06-01,Debit Card,6122.09,Failed,TXN000000306
307,179732,2025-09-15,Debit Card,13886.28,Completed,TXN000000307
308,101689,2025-08-22,UPI,14573.4,Completed,TXN000000308
309,81178,2025-03-24,UPI,6038.65,Completed,TXN000000309
310,192612,2024-12-06,UPI,9467.63,Completed,TXN000000310
311,57798,2024-04-28,COD,13107.1,Completed,TXN000000311
312,11395,2025-07-24,Debit Card,5503.73,Completed,TXN000000312
313,178248,2025-01-13,UPI,3644.65,Completed,TXN000000313
314,183403,2024-09-23,Net Banking,241.44,Completed,TXN000000314
315,49060,2024-06-30,Net Banking,7784.48,Completed,TXN000000315
316,100987,2024-11-19,UPI,8456.7,Completed,TXN000000316
317,25738,2024-09-23,Debit Card,2877.48,Completed,TXN000000317
318,139864,2024-06-14,COD,11919.11,Completed,TXN000000318
319,96316,2025-04-26,Net Banking,8291.98,Completed,TXN000000319
320,28869,2024-02-21,Net Banking,6314.36,Completed,TXN000000320
321,161565,2024-06-26,Debit Card,4729.33,Completed,TXN000000321
322,55480,2025-04-26,Credit Card,9548.87,Refunded,TXN000000322
323,100624,2024-10-19,Credit Card,357.93,Completed,TXN000000323
324,73195,2024-04-20,UPI,3427.89,Completed,TXN000000324
325,95569,2024-04-24,UPI,8270.58,Completed,TXN000000325
326,101965,2024-11-28,Debit Card,3828.24,Completed,TXN000000326
327,87571,2024-07-29,UPI,8737.56,Completed,TXN000000327
328,185738,2025-12-20,UPI,1905.28,Failed,TXN000000328
329,161383,2024-12-19,UPI,23543.95,Completed,TXN000000329
330,115625,2024-03-14,Net Banking,778.41,Pending,TXN000000330
331,78409,2024-03-01,Credit Card,3497.34,Completed,TXN000000331
332,77555,2025-08-10,COD,8945.25,Completed,TXN000000332
333,58213,2024-08-14,Net Banking,8748.8,Completed,TXN000000333
334,49803,2025-08-26,Net Banking,10448.11,Completed,TXN000000334
335,195752,2025-06-03,Debit Card,1177.51,Completed,TXN000000335
336,97547,2025-03-27,Credit Card,9054.8,Completed,TXN000000336
337,12972,2024-12-09,COD,9684.01,Refunded,TXN000000337
338,73324,2024-07-30,Wallet,2603.33,Completed,TXN000000338
339,171547,2025-06-17,UPI,2312.54,Completed,TXN000000339
340,20929,2025-05-08,UPI,7557.26,Completed,TXN000000340
341,28632,2024-04-25,Credit Card,7864.46,Completed,TXN000000341
342,186665,2025-11-27,COD,5126.94,Completed,TXN000000342
343,62068,2024-05-27,Net Banking,4892.05,Failed,TXN000000343
344,85284,2024-04-26,COD,1745.35,Refunded,TXN000000344
345,39988,2024-05-24,COD,1890.47,Completed,TXN000000345
346,58236,2024-09-02,Wallet,9725.61,Completed,TXN000000346
347,110051,2025-02-09,Credit Card,5186.23,Completed,TXN000000347
348,97420,2024-12-17,Debit Card,9279.75,Completed,TXN000000348
349,9081,2025-10-31,COD,4890.67,Completed,TXN000000349
350,113998,2025-09-19,Net Banking,14108.12,Failed,TXN000000350
351,98705,2024-02-28,UPI,12856.01,Completed,TXN000000351
352,97787,2025-05-08,Credit Card,9495.75,Completed,TXN000000352
353,169065,2024-01-17,Credit Card,15149.32,Completed,TXN000000353
354,118143,2025-11-07,Debit Card,1201.6,Completed,TXN000000354
355,160480,2024-04-17,UPI,11546.48,Completed,TXN000000355
356,122734,2024-05-30,Debit Card,16217.52,Completed,TXN000000356
357,38650,2025-08-17,COD,8741.6,Completed,TXN000000357
358,144179,2025-02-06,Net Banking,11823.9,Completed,TXN000000358
359,148845,2024-08-18,UPI,6130.47,Completed,TXN000000359
360,134532,2025-09-06,Credit Card,1687.61,Completed,TXN000000360
361,168697,2025-01-22,Wallet,7736.42,Completed,TXN000000361
362,115732,2024-10-13,UPI,16098.6,Completed,TXN000000362
363,48421,2025-09-06,Net Banking,8295.69,Failed,TXN000000363
364,31327,2025-02-10,Wallet,14824.87,Completed,TXN000000364
365,82016,2025-11-01,Wallet,15065.25,Completed,TXN000000365
366,162209,2024-10-28,Net Banking,11580.39,Completed,TXN000000366
367,91146,2024-02-23,UPI,9376.1,Pending,TXN000000367
368,182250,2024-04-04,COD,5736.68,Completed,TXN000000368
369,15116,2024-12-26,Wallet,12179.89,Completed,TXN000000369
370,43801,2025-10-17,UPI,6969.56,Completed,TXN000000370
371,151422,2025-02-26,Credit Card,6915.78,Completed,TXN000000371
372,41142,2024-08-19,Debit Card,7781.22,Completed,TXN000000372
373,62411,2024-08-01,UPI,4746.04,Failed,TXN000000373
374,31626,2025-08-08,COD,4504.16,Completed,TXN000000374
375,123007,2024-07-23,UPI,9521.51,Completed,TXN000000375
376,194266,2024-05-12,Credit Card,10402.19,Failed,TXN000000376
377,163186,2025-12-06,UPI,12566.65,Completed,TXN000000377
378,58318,2025-08-09,UPI,14285.13,Completed,TXN000000378
379,130838,2024-09-19,COD,1770.36,Completed,TXN000000379
380,192553,2025-07-16,Debit Card,14768.84,Completed,TXN000000380
381,64100,2025-07-21,Credit Card,4434.52,Completed,TXN000000381
382,6242,2024-11-02,Debit Card,11456.5,Completed,TXN000000382
383,15001,2025-06-27,Debit Card,5715.92,Completed,TXN000000383
384,142694,2024-10-20,UPI,1663.63,Completed,TXN000000384
385,72037,2024-10-01,COD,1239.84,Completed,TXN000000385
386,160412,2025-11-11,Debit Card,7564.83,Completed,TXN000000386
387,63650,2024-04-14,UPI,6495.85,Completed,TXN000000387
388,131548,2024-01-21,Wallet,1743.65,Completed,TXN000000388
389,42340,2024-10-06,UPI,18488.7,Completed,TXN000000389
390,116255,2024-10-31,UPI,2729.61,Completed,TXN000000390
391,157114,2024-06-22,Debit Card,2573.87,Completed,TXN000000391
392,5735,2025-06-17,Wallet,6324.16,Completed,TXN000000392
393,99119,2025-08-12,UPI,17611.41,Completed,TXN000000393
394,124020,2024-04-07,UPI,11127.28,Completed,TXN000000394
395,185392,2025-01-04,Credit Card,11908.35,Failed,TXN000000395
396,32896,2025-09-11,UPI,14008.97,Completed,TXN000000396
397,171726,2025-09-10,Debit Card,4704.68,Completed,TXN000000397
398,161693,2024-09-07,COD,7651.37,Completed,TXN000000398
399,130062,2024-09-16,Net Banking,6441.48,Completed,TXN000000399
400,114482,2025-03-12,UPI,5407.48,Completed,TXN000000400
401,44989,2025-06-26,UPI,10761.46,Completed,TXN000000401
402,139047,2025-12-17,UPI,10530.62,Completed,TXN000000402
403,139865,2024-04-24,Credit Card,264.59,Completed,TXN000000403
404,11062,2024-06-01,Debit Card,8596.9,Completed,TXN000000404
405,64496,2025-03-15,Credit Card,10149.55,Refunded,TXN000000405
406,194070,2024-06-04,Net Banking,2500.91,Completed,TXN000000406
407,197757,2024-11-08,Credit Card,5552.76,Completed,TXN000000407
408,159435,2024-12-15,Net Banking,4876.86,Completed,TXN000000408
409,162468,2025-10-24,Net Banking,1547.56,Completed,TXN000000409
410,179950,2025-09-19,Wallet,1396.82,Completed,TXN000000410
411,31737,2025-03-13,UPI,4029.43,Completed,TXN000000411
412,43060,2024-04-22,Debit Card,10153.16,Completed,TXN000000412
413,193624,2025-08-19,Wallet,4647.02,Completed,TXN000000413
414,115384,2024-04-07,Net Banking,12197.91,Completed,TXN000000414
415,188384,2025-12-06,UPI,10706.57,Completed,TXN000000415
416,71615,2025-10-17,UPI,875.34,Completed,TXN000000416
417,104671,2025-12-21,Credit Card,4578.83,Completed,TXN000000417
418,190404,2025-09-04,UPI,16676.52,Completed,TXN000000418
419,185716,2024-04-21,Net Banking,1386.29,Completed,TXN000000419
420,90700,2025-02-20,Debit Card,10832.49,Completed,TXN000000420
421,106416,2025-12-15,Credit Card,4047.05,Completed,TXN000000421
422,138200,2025-07-01,Credit Card,12603.71,Failed,TXN000000422
