shipment_id,order_id,seller_id,shipping_date,expected_delivery_date,actual_delivery_date,shipping_method,shipping_cost,delivery_status
88,88,2014,2024-05-16,2024-05-18,2024-05-17,Standard,21.72,Delayed
89,89,2193,2025-01-11,2025-01-18,2025-01-20,Express,3.75,Delivered
90,90,3348,2024-10-25,2024-11-01,2024-10-31,Express,48.37,Delivered
91,91,1244,2024-02-21,2024-02-28,2024-03-02,Economy,10.23,Delayed
92,92,149,2024-09-18,2024-09-25,2024-09-29,Standard,5.63,Delivered
93,93,2087,2024-09-01,2024-09-07,2024-09-07,Standard,18.0,Delivered
94,94,733,2025-11-12,2025-11-18,2025-11-20,Express,3.96,Delivered
95,95,3246,2025-06-13,2025-06-20,2025-06-20,Standard,2.86,Delivered
96,96,3964,2024-03-14,2024-03-18,2024-03-17,Standard,17.99,Delivered
97,97,421,2025-01-20,2025-01-23,2025-01-26,Standard,13.84,Delivered
98,98,3418,2025-05-23,2025-05-29,2025-05-30,Standard,44.75,Delivered
99,99,3837,2024-04-26,2024-04-30,2024-05-02,Express,19.13,Delivered
100,100,4754,2025-11-05,2025-11-08,2025-11-10,Express,18.48,Returned
101,101,2525,2024-07-01,2024-07-03,2024-07-04,Express,17.84,Delivered
102,102,941,2025-02-10,2025-02-15,2025-02-16,Standard,23.31,Delivered
103,103,4781,2024-07-19,2024-07-24,2024-07-25,Standard,34.99,Delivered
104,104,3264,2025-02-03,2025-02-07,2025-02-07,Express,4.15,Delivered
105,105,1430,2025-04-29,2025-05-02,2025-05-04,Standard,28.89,Delivered
106,106,1100,2024-09-13,2024-09-19,2024-09-23,Standard,29.14,Delayed
107,107,2990,2025-01-16,2025-01-20,2025-01-20,Standard,12.16,Delivered
108,108,4799,2025-09-19,2025-09-25,2025-09-24,Standard,10.26,Delivered
109,109,59,2024-08-24,2024-08-27,2024-08-28,Economy,45.91,Delivered
110,110,3446,2024-11-26,2024-11-30,2024-12-02,Standard,38.11,Delivered
111,111,1521,2025-02-04,2025-02-08,2025-02-12,Economy,36.87,Delivered
112,112,2344,2025-04-26,2025-05-03,2025-05-02,Express,38.92,Delivered
113,113,1957,2024-09-12,2024-09-18,2024-09-19,Standard,44.29,Delivered
114,114,1132,2024-07-25,2024-08-01,2024-08-04,Standard,23.45,In Transit
115,115,3043,2024-05-22,2024-05-29,2024-05-31,Express,10.89,Delivered
116,116,4770,2025-11-14,2025-11-17,2025-11-18,Economy,37.35,Delivered
117,117,443,2025-03-07,2025-03-14,2025-03-13,Standard,33.36,Delivered
118,118,3401,2025-06-16,2025-06-22,2025-06-22,Standard,2.28,Delivered
119,119,2631,2024-11-26,2024-12-03,2024-12-05,Standard,27.25,Delivered
120,120,186,2025-01-19,2025-01-21,2025-01-24,Express,43.62,Delivered
121,121,1332,2024-11-19,2024-11-24,2024-11-27,Express,32.02,Returned
122,122,3982,2024-10-23,2024-10-27,2024-10-28,Standard,36.72,Delivered
123,123,377,2024-01-09,2024-01-13,2024-01-12,Standard,12.66,In Transit
124,124,2059,2024-07-02,2024-07-08,2024-07-11,Economy,34.22,Delivered
125,125,3004,2024-08-17,2024-08-24,2024-08-28,Standard,6.04,Delivered
126,126,1432,2025-12-18,2025-12-23,2025-12-22,Standard,46.62,Delayed
127,127,1030,2024-12-13,2024-12-15,2024-12-15,Economy,13.52,Delivered
128,128,2104,2024-04-18,2024-04-20,2024-04-24,Standard,25.58,Delivered
129,129,4181,2024-01-12,2024-01-17,2024-01-19,Express,28.24,Delivered
130,130,1065,2025-09-29,2025-10-02,2025-10-01,Express,13.39,Delivered
131,131,4874,2025-06-06,2025-06-08,2025-06-09,Standard,34.53,Delivered
132,132,2104,2025-06-25,2025-06-30,2025-07-03,Standard,20.35,Delivered
133,133,1,2024-06-23,2024-06-25,2024-06-29,Standard,30.0,Delivered
134,134,353,2025-03-08,2025-03-11,2025-03-12,Express,18.48,Delivered
135,135,4321,2025-11-09,2025-11-15,2025-11-14,Standard,23.77,Delivered
136,136,2724,2025-11-17,2025-11-23,2025-11-24,Express,16.44,Delivered
137,137,16,2025-06-03,2025-06-08,2025-06-07,Express,6.53,Delivered
138,138,4799,2024-08-16,2024-08-18,2024-08-17,Economy,25.61,Delivered
139,139,3668,2024-12-25,2024-12-30,2025-01-03,Economy,9.14,Delayed
140,140,4251,2024-11-22,2024-11-25,2024-11-24,Standard,32.5,Delivered
141,141,639,2024-12-25,2024-12-29,2025-01-02,Standard,3.53,Delivered
142,142,3677,2025-11-22,2025-11-26,2025-11-27,Standard,5.52,Delivered
143,143,2870,2025-09-16,2025-09-19,2025-09-22,Express,13.1,Delivered
144,144,289,2025-10-18,2025-10-22,2025-10-23,Standard,35.25,Delivered
145,145,3664,2025-01-13,2025-01-17,2025-01-16,Standard,8.92,In Transit
146,146,3094,2025-10-12,2025-10-18,2025-10-20,Same Day,34.86,Returned
147,147,4610,2024-01-21,2024-01-23,2024-01-22,Express,12.54,In Transit
148,148,4008,2025-05-21,2025-05-25,2025-05-24,Standard,48.01,Delivered
149,149,266,2025-06-16,2025-06-19,2025-06-20,Same Day,46.96,Delivered
150,150,1073,2024-12-13,2024-12-19,2024-12-21,Express,4.54,Delivered
151,151,4549,2024-11-07,2024-11-09,2024-11-13,Economy,11.58,Delayed
152,152,2613,2025-09-17,2025-09-20,2025-09-20,Standard,2.59,Delivered
153,153,4371,2024-09-26,2024-09-28,2024-09-29,Standard,14.97,Delivered
154,154,4011,2025-08-20,2025-08-27,2025-08-28,Same Day,3.04,Delayed
155,155,2084,2024-06-24,2024-06-29,2024-07-03,Standard,24.67,Delivered
156,156,138,2024-12-26,2025-01-02,2025-01-04,Standard,39.94,Delivered
157,157,4997,2025-11-27,2025-11-30,2025-11-29,Express,3.98,Delivered
158,158,951,2024-12-15,2024-12-17,2024-12-17,Economy,40.38,Delivered
159,159,4626,2024-03-06,2024-03-13,2024-03-14,Express,24.75,Delayed
160,160,4896,2024-07-21,2024-07-25,2024-07-27,Express,6.84,Delivered
161,161,2414,2025-07-01,2025-07-07,2025-07-08,Express,44.84,Delayed
162,162,4860,2024-07-17,2024-07-24,2024-07-23,Standard,20.1,Delivered
163,163,1094,2025-05-02,2025-05-05,2025-05-04,Standard,17.41,Delivered
164,164,2501,2024-07-09,2024-07-13,2024-07-15,Standard,13.17,Delivered
165,165,218,2024-03-08,2024-03-14,2024-03-16,Standard,20.37,In Transit
166,166,1807,2025-12-17,2025-12-20,2025-12-19,Standard,38.24,Delayed
167,167,2717,2025-04-17,2025-04-20,2025-04-24,Economy,20.13,Delivered
168,168,1651,2024-12-04,2024-12-11,2024-12-14,Standard,20.19,In Transit
169,169,4180,2024-07-12,2024-07-17,2024-07-18,Economy,20.53,Delivered
170,170,2715,2024-01-11,2024-01-15,2024-01-17,Standard,46.03,Delivered
171,171,1153,2024-09-08,2024-09-11,2024-09-11,Standard,34.0,Delivered
172,172,1092,2025-01-04,2025-01-09,2025-01-09,Economy,14.46,Delivered
173,173,1969,2024-01-04,2024-01-07,2024-01-07,Standard,15.94,Delivered
174,174,3042,2025-10-24,2025-10-31,2025-11-03,Economy,26.78,Delivered
175,175,4788,2025-06-07,2025-06-10,2025-06-12,Standard,23.25,Delivered
176,176,3973,2024-05-03,2024-05-05,2024-05-05,Standard,48.36,Delivered
177,177,4166,2025-10-06,2025-10-08,2025-10-08,Standard,38.08,Delayed
178,178,1295,2025-02-03,2025-02-09,2025-02-08,Standard,6.03,Delivered
179,179,452,2025-06-16,2025-06-21,2025-06-21,Standard,20.19,Delivered
180,180,1273,2025-05-14,2025-05-16,2025-05-16,Express,9.41,Delivered
181,181,4198,2024-01-10,2024-01-17,2024-01-21,Same Day,27.65,Delayed
182,182,553,2025-06-28,2025-07-02,2025-07-02,Standard,35.98,Delivered
183,183,687,2024-10-11,2024-10-18,2024-10-21,Standard,38.33,Delivered
184,184,277,2024-04-08,2024-04-15,2024-04-16,Economy,16.08,Delivered
185,185,4122,2025-06-28,2025-07-03,2025-07-07,Standard,9.75,Delivered
186,186,2232,2025-10-03,2025-10-10,2025-10-09,Economy,10.4,Delivered
187,187,1456,2024-10-31,2024-11-02,2024-11-02,Economy,23.68,Delivered
188,188,4034,2024-10-23,2024-10-25,2024-10-29,Same Day,19.35,Delivered
189,189,4547,2025-10-31,2025-11-07,2025-11-06,Economy,2.8,Delayed
190,190,2582,2025-05-27,2025-06-02,2025-06-01,Standard,4.47,In Transit
191,191,4319,2024-04-26,2024-04-28,2024-04-29,Standard,17.72,Delivered
192,192,3102,2025-04-29,2025-05-05,2025-05-07,Standard,17.21,In Transit
193,193,1357,2025-09-24,2025-09-30,2025-10-01,Express,21.43,Returned
194,194,4202,2025-05-08,2025-05-13,2025-05-16,Express,16.09,Delivered
195,195,329,2025-03-20,2025-03-24,2025-03-23,Express,37.28,Delivered
196,196,2542,2025-07-08,2025-07-15,2025-07-14,Standard,33.24,Delivered
197,197,2608,2025-06-23,2025-06-27,2025-06-30,Express,25.8,Delivered
198,198,493,2025-09-01,2025-09-06,2025-09-05,Express,37.47,Delivered
199,199,3091,2025-05-04,2025-05-06,2025-05-10,Express,48.68,Delivered
200,200,2938,2024-04-27,2024-05-02,2024-05-04,Standard,29.31,Delivered
201,201,1025,2024-10-01,2024-10-03,2024-10-03,Standard,11.47,Delivered
202,202,2830,2025-01-17,2025-01-22,2025-01-24,Standard,37.97,Delivered
203,203,1788,2025-03-14,2025-03-20,2025-03-22,Economy,32.47,Delivered
204,204,3466,2024-06-27,2024-07-01,2024-07-05,Standard,6.26,Delayed
205,205,857,2025-07-29,2025-08-04,2025-08-03,Express,38.34,Delivered
206,206,3745,2025-07-19,2025-07-21,2025-07-24,Economy,28.23,Delivered
207,207,1657,2024-02-28,2024-03-05,2024-03-08,Express,36.32,Delayed
208,208,2520,2024-07-14,2024-07-19,2024-07-19,Standard,27.93,Returned
209,209,3589,2024-04-27,2024-04-29,2024-04-28,Economy,35.4,Delivered
210,210,3888,2025-07-18,2025-07-21,2025-07-23,Express,22.42,Delivered
211,211,4200,2024-06-13,2024-06-18,2024-06-17,Economy,26.72,Delivered
212,212,507,2024-03-13,2024-03-18,2024-03-22,Express,25.28,Delivered
213,213,686,2024-08-16,2024-08-19,2024-08-19,Standard,41.21,Delivered
214,214,2711,2025-11-13,2025-11-18,2025-11-21,Standard,38.44,Delivered
215,215,3749,2024-07-13,2024-07-18,2024-07-19,Standard,46.39,Delivered
216,216,611,2025-11-04,2025-11-09,2025-11-09,Standard,6.77,Delivered
217,217,4506,2024-01-10,2024-01-13,2024-01-17,Standard,39.55,Delivered
218,218,3941,2025-07-03,2025-07-07,2025-07-07,Express,6.33,In Transit
219,219,1149,2024-02-11,2024-02-18,2024-02-17,Standard,23.82,Delivered
220,220,2058,2025-02-21,2025-02-24,2025-02-23,Express,29.65,Delivered
221,221,1167,2025-09-01,2025-09-06,2025-09-09,Economy,47.54,Delivered
222,222,2643,2025-04-09,2025-04-12,2025-04-14,Economy,15.44,Delivered
223,223,3066,2024-02-09,2024-02-16,2024-02-19,Express,44.55,Delivered
224,224,2453,2025-01-21,2025-01-26,2025-01-30,Standard,11.11,Delivered
225,225,4703,2025-02-15,2025-02-21,2025-02-24,Standard,35.62,Delivered
226,226,132,2025-09-28,2025-10-03,2025-10-07,Express,30.49,Delivered
227,227,3129,2024-03-13,2024-03-18,2024-03-17,Standard,38.61,Delivered
228,228,3402,2024-04-10,2024-04-16,2024-04-20,Standard,34.71,Returned
229,229,2202,2025-07-01,2025-07-07,2025-07-06,Standard,23.26,Delivered
230,230,3789,2024-10-21,2024-10-23,2024-10-24,Express,25.49,Delivered
231,231,85,2025-05-27,2025-05-31,2025-06-04,Standard,47.69,Delayed
232,232,1103,2025-10-26,2025-11-01,2025-11-04,Standard,12.05,Delivered
233,233,3773,2025-10-12,2025-10-19,2025-10-18,Standard,3.89,Delivered
234,234,2902,2024-05-07,2024-05-14,2024-05-16,Express,26.45,Delivered
235,235,1397,2024-12-29,2025-01-05,2025-01-08,Standard,32.04,Delivered
236,236,4495,2025-08-23,2025-08-30,2025-08-29,Standard,39.78,Delivered
237,237,1652,2024-11-09,2024-11-15,2024-11-16,Economy,49.99,Delivered
238,238,3177,2025-03-30,2025-04-03,2025-04-07,Standard,19.94,Delivered
239,239,1195,2025-11-03,2025-11-07,2025-11-08,Standard,47.53,Delivered
240,240,904,2024-03-26,2024-03-29,2024-03-31,Express,19.34,Delivered
241,241,970,2025-08-16,2025-08-19,2025-08-19,Express,39.55,Delivered
242,242,1963,2024-03-13,2024-03-16,2024-03-19,Standard,5.96,Delayed
243,243,3409,2024-10-22,2024-10-27,2024-10-31,Standard,42.26,Delayed
244,244,4039,2025-05-26,2025-06-01,2025-06-02,Standard,30.32,In Transit
245,245,930,2024-09-20,2024-09-24,2024-09-24,Express,22.68,Delivered
246,246,462,2024-08-24,2024-08-29,2024-08-31,Economy,29.04,Returned
247,247,2154,2024-12-31,2025-01-04,2025-01-06,Express,10.71,Delivered
248,248,2160,2025-06-16,2025-06-18,2025-06-17,Standard,38.68,Delivered
249,249,1687,2025-03-12,2025-03-19,2025-03-18,Standard,39.8,Delivered
250,250,577,2024-11-08,2024-11-14,2024-11-13,Standard,23.7,Returned
251,251,4387,2025-01-05,2025-01-09,2025-01-12,Same Day,11.71,Delivered
252,252,791,2024-10-30,2024-11-05,2024-11-07,Standard,14.56,Delivered
253,253,4748,2025-07-22,2025-07-28,2025-07-29,Standard,6.4,Delivered
254,254,1431,2024-04-19,2024-04-25,2024-04-26,Economy,13.76,Delivered
255,255,2384,2025-07-07,2025-07-09,2025-07-10,Express,34.38,Delivered
256,256,598,2024-02-21,2024-02-26,2024-02-25,Economy,34.26,Delivered
257,257,4494,2025-08-22,2025-08-24,2025-08-27,Standard,21.56,Delivered
258,258,3950,2025-11-29,2025-12-05,2025-12-07,Economy,45.9,Delivered
259,259,3604,2024-06-29,2024-07-06,2024-07-07,Standard,47.43,Delivered
260,260,4342,2025-12-02,2025-12-07,2025-12-11,Standard,44.26,In Transit
261,261,3250,2024-10-16,2024-10-22,2024-10-24,Express,9.06,Delivered
262,262,20,2025-01-22,2025-01-29,2025-01-29,Express,44.97,Delivered
263,263,751,2024-07-14,2024-07-21,2024-07-22,Economy,44.45,Delivered
264,264,1509,2025-07-10,2025-07-16,2025-07-19,Same Day,29.0,Delayed
265,265,3030,2025-04-27,2025-05-02,2025-05-06,Standard,27.95,Delivered
266,266,74,2024-07-20,2024-07-22,2024-07-23,Standard,10.64,Delivered
267,267,2632,2025-07-28,2025-08-02,2025-08-02,Standard,5.84,Delivered
268,268,4457,2025-05-03,2025-05-09,2025-05-11,Economy,30.02,Delivered
269,269,246,2024-03-20,2024-03-24,2024-03-23,Economy,41.73,Delayed
270,270,727,2025-12-12,2025-12-16,2025-12-19,Economy,7.04,In Transit
271,271,3430,2025-04-19,2025-04-24,2025-04-23,Express,35.45,Delivered
272,272,3310,2025-04-14,2025-04-16,2025-04-15,Express,5.23,Delivered
273,273,546,2025-12-18,2025-12-21,2025-12-23,Standard,4.39,Delivered
274,274,124,2024-12-19,2024-12-26,2024-12-28,Standard,39.08,Delivered
275,275,1365,2025-10-12,2025-10-18,2025-10-21,Standard,4.88,In Transit
276,276,3802,2025-10-12,2025-10-18,2025-10-17,Economy,27.36,Delivered
277,277,4708,2025-12-10,2025-12-13,2025-12-17,Standard,41.16,Delivered
278,278,506,2024-07-16,2024-07-22,2024-07-25,Standard,9.49,Delivered
279,279,2626,2024-02-09,2024-02-11,2024-02-12,Express,17.53,Delivered
280,280,4680,2025-02-07,2025-02-09,2025-02-09,Same Day,24.78,In Transit
281,281,3242,2024-10-24,2024-10-26,2024-10-30,Standard,28.07,Delayed
282,282,2755,2025-06-06,2025-06-11,2025-06-11,Standard,46.16,Delivered
283,283,2644,2024-05-18,2024-05-20,2024-05-19,Standard,37.26,Delivered
284,284,2310,2025-02-13,2025-02-19,2025-02-19,Standard,40.09,Delivered
285,285,1629,2025-05-18,2025-05-22,2025-05-23,Standard,18.8,Delivered
286,286,1379,2024-07-11,2024-07-13,2024-07-17,Standard,43.61,Delivered
287,287,167,2025-02-17,2025-02-22,2025-02-24,Standard,23.28,Delivered
288,288,2034,2025-05-22,2025-05-28,2025-06-01,Standard,28.93,Delivered
289,289,3607,2025-06-03,2025-06-06,2025-06-09,Standard,41.44,Delivered
290,290,2393,2024-12-28,2024-12-30,2024-12-30,Standard,35.72,Delayed
291,291,1458,2025-10-02,2025-10-05,2025-10-08,Express,17.96,Delivered
292,292,2766,2025-12-21,2025-12-26,2025-12-29,Economy,37.83,Delivered
293,293,4774,2024-01-09,2024-01-11,2024-01-15,Standard,2.01,Delivered
294,294,4264,2025-12-05,2025-12-11,2025-12-10,Express,37.52,Delivered
295,295,1495,2026-01-03,2026-01-07,2026-01-11,Express,32.18,In Transit
296,296,4586,2025-05-14,2025-05-19,2025-05-20,Standard,49.89,Delivered
297,297,4909,2024-03-01,2024-03-07,2024-03-06,Express,35.92,Delayed
298,298,4963,2024-06-20,2024-06-22,2024-06-22,Express,13.23,Delivered
299,299,3059,2025-07-11,2025-07-17,2025-07-16,Standard,27.86,Returned
300,300,3340,2025-12-05,2025-12-09,2025-12-11,Express,32.5,Delivered
301,301,4220,2025-06-12,2025-06-17,2025-06-18,Economy,25.03,Returned
302,302,4277,2024-09-11,2024-09-15,2024-09-19,Standard,22.34,Delivered
303,303,3865,2024-11-23,2024-11-26,2024-11-27,Standard,43.01,Delivered
304,304,2002,2024-09-17,2024-09-20,2024-09-22,Standard,12.06,Delivered
305,305,386,2025-12-25,2026-01-01,2026-01-03,Standard,22.2,Delivered
306,306,2163,2025-07-24,2025-07-26,2025-07-30,Economy,28.66,Delivered
307,307,1011,2025-07-04,2025-07-06,2025-07-06,Standard,16.24,Delivered
308,308,4068,2025-04-28,2025-05-03,2025-05-05,Standard,45.38,Delayed
309,309,2603,2025-09-25,2025-10-02,2025-10-02,Economy,10.27,Returned
310,310,2094,2025-03-29,2025-04-04,2025-04-06,Standard,32.96,Delivered
311,311,3189,2024-07-10,2024-07-14,2024-07-18,Express,3.68,Delivered
312,312,2554,2024-01-11,2024-01-14,2024-01-17,Economy,11.72,Delivered
313,313,789,2024-10-21,2024-10-28,2024-10-28,Standard,45.08,Delivered
314,314,3600,2025-01-10,2025-01-17,2025-01-18,Standard,12.1,Delivered
315,315,3256,2025-09-29,2025-10-01,2025-10-03,Standard,3.29,Delivered
316,316,388,2025-06-20,2025-06-27,2025-06-26,Express,42.64,Delivered
317,317,3343,2025-07-16,2025-07-18,2025-07-20,Standard,42.69,Delivered
318,318,699,2024-04-01,2024-04-05,2024-04-07,Economy,7.4,In Transit
319,319,2337,2024-05-26,2024-05-29,2024-05-30,Economy,20.46,Delivered
320,320,2558,2024-01-19,2024-01-24,2024-01-25,Standard,11.72,Returned
321,321,887,2025-12-05,2025-12-12,2025-12-14,Express,33.42,Delayed
322,322,3825,2024-01-24,2024-01-31,2024-02-01,Standard,5.99,Delivered
323,323,335,2025-02-11,2025-02-18,2025-02-18,Standard,26.34,Delivered
324,324,4914,2024-09-30,2024-10-05,2024-10-06,Standard,35.28,Delivered
325,325,1601,2025-09-02,2025-09-04,2025-09-04,Economy,42.5,Delivered
326,326,3639,2024-09-14,2024-09-21,2024-09-25,Standard,21.97,Delivered
327,327,715,2024-10-31,2024-11-04,2024-11-08,Economy,43.59,Delivered
328,328,177,2024-05-02,2024-05-09,2024-05-11,Standard,30.11,Delivered
329,329,3015,2025-05-13,2025-05-20,2025-05-19,Standard,13.36,In Transit
330,330,4148,2025-04-17,2025-04-21,2025-04-21,Economy,32.92,Delivered
331,331,1802,2024-05-14,2024-05-17,2024-05-19,Standard,10.91,Delivered
332,332,81,2024-01-07,2024-01-09,2024-01-09,Standard,48.59,Delivered
333,333,1900,2024-08-08,2024-08-13,2024-08-13,Standard,47.51,Delivered
334,334,1909,2025-12-17,2025-12-19,2025-12-18,Economy,16.09,Returned
335,335,2434,2024-12-10,2024-12-13,2024-12-12,Express,27.5,Delivered
336,336,32,2024-04-08,2024-04-15,2024-04-16,Standard,11.95,Delivered
337,337,1729,2025-12-11,2025-12-15,2025-12-15,Standard,27.1,Delivered
338,338,2401,2024-09-25,2024-10-01,2024-09-30,Standard,33.78,Delivered
339,339,642,2024-07-02,2024-07-04,2024-07-08,Standard,31.34,In Transit
340,340,1079,2024-07-05,2024-07-11,2024-07-11,Standard,18.32,Delivered
341,341,2426,2024-06-14,2024-06-16,2024-06-18,Same Day,45.88,Delivered
342,342,2855,2025-05-30,2025-06-05,2025-06-07,Express,41.23,Delivered
