seller_id,seller_name,city,state,seller_rating,join_date
33,Seller_00033,Pune,Karnataka,3.53,2021-02-28
34,Seller_00034,Bengaluru,Delhi,3.82,2022-03-26
35,Seller_00035,Hyderabad,Rajasthan,4.01,2023-01-18
36,Seller_00036,Guwahati,Assam,3.63,2024-08-25
37,Seller_00037,Jaipur,Telangana,4.55,2020-03-11
38,Seller_00038,Guwahati,Assam,4.01,2024-03-18
39,Seller_00039,Imphal,Rajasthan,4.89,2025-02-13
40,Seller_00040,Chennai,Delhi,4.72,2022-04-20
41,Seller_00041,Bengaluru,Karnataka,4.19,2020-01-12
42,Seller_00042,Pune,Assam,3.78,2025-01-03
43,Seller_00043,Chennai,Telangana,3.9,2024-07-11
44,Seller_00044,Chennai,Tamil Nadu,5.0,2022-09-03
45,Seller_00045,Chennai,Telangana,3.61,2025-10-03
46,Seller_00046,Imphal,Telangana,3.79,2020-01-04
47,Seller_00047,Delhi,Assam,4.48,2024-04-11
48,Seller_00048,Delhi,Maharashtra,4.03,2021-11-29
49,Seller_00049,Delhi,Karnataka,4.61,2023-03-05
50,Seller_00050,Chennai,Assam,4.33,2024-03-19
51,Seller_00051,Imphal,Manipur,4.22,2022-08-02
52,Seller_00052,Hyderabad,Delhi,3.59,2024-02-19
53,Seller_00053,Hyderabad,Delhi,4.18,2020-08-08
54,Seller_00054,Kolkata,Telangana,4.05,2024-05-11
55,Seller_00055,Bengaluru,West Bengal,4.54,2021-01-28
56,Seller_00056,Chennai,Telangana,5.0,2022-06-24
57,Seller_00057,Hyderabad,Manipur,3.98,2025-02-10
58,Seller_00058,Imphal,Rajasthan,4.49,2020-03-30
59,Seller_00059,Pune,Manipur,4.4,2024-10-17
60,Seller_00060,Pune,Tamil Nadu,4.31,2024-12-28
61,Seller_00061,Bengaluru,West Bengal,5.0,2021-01-18
62,Seller_00062,Delhi,Maharashtra,4.34,2024-07-18
63,Seller_00063,Pune,Karnataka,4.09,2020-01-30
64,Seller_00064,Mumbai,Karnataka,3.82,2020-06-18
65,Seller_00065,Guwahati,Maharashtra,4.56,2023-12-05
66,Seller_00066,Mumbai,Tamil Nadu,4.46,2022-07-24
67,Seller_00067,Pune,Tamil Nadu,3.05,2020-05-02
68,Seller_00068,Delhi,Karnataka,3.67,2023-10-31
69,Seller_00069,Hyderabad,Rajasthan,4.72,2024-09-22
70,Seller_00070,Bengaluru,Manipur,4.72,2022-05-18
71,Seller_00071,Imphal,Delhi,4.26,2024-09-05
72,Seller_00072,Imphal,Delhi,4.45,2023-10-20
73,Seller_00073,Imphal,Telangana,3.51,2024-08-16
74,Seller_00074,Delhi,Maharashtra,4.11,2020-03-26
75,Seller_00075,Delhi,Telangana,4.5,2020-07-29
76,Seller_00076,Imphal,Maharashtra,4.49,2025-12-15
77,Seller_00077,Imphal,Delhi,4.42,2021-05-11
78,Seller_00078,Jaipur,West Bengal,4.93,2020-02-10
79,Seller_00079,Pune,Tamil Nadu,5.0,2020-11-04
80,Seller_00080,Guwahati,Tamil Nadu,4.14,2023-06-06
81,Seller_00081,Pune,Delhi,4.49,2022-05-07
82,Seller_00082,Guwahati,Assam,4.81,2020-04-07
83,Seller_00083,Pune,Manipur,3.89,2020-09-28
84,Seller_00084,Bengaluru,Telangana,3.92,2021-09-08
85,Seller_00085,Imphal,Assam,4.04,2022-12-23
86,Seller_00086,Mumbai,Delhi,3.62,2024-08-22
87,Seller_00087,Bengaluru,Tamil Nadu,3.97,2021-08-04
88,Seller_00088,Pune,Assam,4.78,2023-01-20
89,Seller_00089,Chennai,Rajasthan,3.66,2020-02-24
90,Seller_00090,Bengaluru,Manipur,3.85,2023-03-13
91,Seller_00091,Chennai,West Bengal,4.92,2023-06-27
92,Seller_00092,Bengaluru,Manipur,4.14,2023-12-14
93,Seller_00093,Bengaluru,Assam,5.0,2023-07-14
94,Seller_00094,Bengaluru,Assam,3.73,2020-09-16
95,Seller_00095,Hyderabad,West Bengal,3.62,2021-04-13
96,Seller_00096,Pune,Manipur,4.41,2020-10-26
97,Seller_00097,Chennai,Rajasthan,3.99,2020-05-31
98,Seller_00098,Kolkata,Assam,4.22,2021-09-04
99,Seller_00099,Jaipur,Telangana,4.55,2025-03-05
100,Seller_00100,Bengaluru,Tamil Nadu,3.82,2021-01-20
101,Seller_00101,Hyderabad,Delhi,4.48,2020-08-15
102,Seller_00102,Kolkata,Manipur,4.69,2022-05-06
103,Seller_00103,Delhi,Karnataka,4.05,2023-02-16
104,Seller_00104,Guwahati,Tamil Nadu,3.76,2023-11-30
105,Seller_00105,Bengaluru,Rajasthan,3.92,2023-01-28
106,Seller_00106,Hyderabad,Karnataka,4.37,2022-02-07
107,Seller_00107,Mumbai,Delhi,4.01,2024-09-22
108,Seller_00108,Mumbai,Karnataka,4.52,2021-05-07
109,Seller_00109,Bengaluru,Tamil Nadu,4.35,2020-04-14
110,Seller_00110,Delhi,Assam,3.74,2025-09-09
111,Seller_00111,Kolkata,Assam,4.27,2020-03-11
112,Seller_00112,Bengaluru,Delhi,3.22,2023-01-28
113,Seller_00113,Chennai,Karnataka,3.83,2024-04-13
114,Seller_00114,Mumbai,Rajasthan,3.68,2023-07-06
115,Seller_00115,Chennai,Manipur,3.46,2025-09-01
116,Seller_00116,Bengaluru,Delhi,4.39,2023-09-09
117,Seller_00117,Jaipur,Rajasthan,4.04,2024-01-13
118,Seller_00118,Delhi,West Bengal,4.48,2020-11-12
119,Seller_00119,Pune,West Bengal,3.81,2022-06-09
120,Seller_00120,Hyderabad,West Bengal,4.12,2020-07-14
121,Seller_00121,Guwahati,Telangana,4.83,2022-10-30
122,Seller_00122,Delhi,Karnataka,3.83,2025-07-22
123,Seller_00123,Guwahati,Manipur,4.75,2024-01-07
124,Seller_00124,Jaipur,Rajasthan,3.68,2025-08-30
125,Seller_00125,Pune,Telangana,4.41,2024-10-21
126,Seller_00126,Guwahati,Delhi,4.7,2022-03-01
127,Seller_00127,Hyderabad,Assam,4.26,2025-09-28
128,Seller_00128,Mumbai,Karnataka,4.53,2022-10-16
129,Seller_00129,Jaipur,Manipur,3.32,2023-02-03
130,Seller_00130,Delhi,Delhi,3.85,2021-07-14
131,Seller_00131,Bengaluru,Karnataka,3.77,2024-06-20
132,Seller_00132,Hyderabad,Manipur,3.99,2024-05-13
133,Seller_00133,Mumbai,Assam,3.76,2020-07-21
134,Seller_00134,Guwahati,Maharashtra,3.22,2021-01-21
135,Seller_00135,Guwahati,Manipur,3.32,2024-05-08
136,Seller_00136,Kolkata,Karnataka,4.33,2024-08-24
137,Seller_00137,Pune,Delhi,4.84,2023-08-13
138,Seller_00138,Kolkata,Maharashtra,4.71,2021-05-20
139,Seller_00139,Guwahati,Delhi,3.99,2025-04-30
140,Seller_00140,Mumbai,Telangana,3.09,2021-07-26
141,Seller_00141,Bengaluru,Tamil Nadu,4.26,2024-10-12
142,Seller_00142,Pune,Assam,4.06,2024-04-15
143,Seller_00143,Jaipur,Delhi,4.17,2020-01-04
144,Seller_00144,Hyderabad,Manipur,3.31,2025-04-22
145,Seller_00145,Hyderabad,Telangana,4.19,2024-02-12
146,Seller_00146,Mumbai,Telangana,3.53,2021-08-12
147,Seller_00147,Imphal,Telangana,4.23,2022-09-08
148,Seller_00148,Jaipur,Karnataka,4.79,2024-04-04
149,Seller_00149,Hyderabad,West Bengal,3.69,2022-09-21
150,Seller_00150,Jaipur,Tamil Nadu,3.59,2022-12-28
151,Seller_00151,Guwahati,Telangana,4.64,2024-03-14
152,Seller_00152,Guwahati,Tamil Nadu,4.48,2022-12-27
153,Seller_00153,Mumbai,Tamil Nadu,4.08,2021-12-14
154,Seller_00154,Bengaluru,Rajasthan,3.48,2020-04-28
155,Seller_00155,Kolkata,Karnataka,3.91,2024-03-16
156,Seller_00156,Bengaluru,Telangana,3.64,2021-02-27
157,Seller_00157,Bengaluru,Delhi,4.15,2025-11-09
158,Seller_00158,Kolkata,Telangana,3.77,2025-05-07
159,Seller_00159,Bengaluru,Maharashtra,3.71,2023-03-01
160,Seller_00160,Jaipur,Assam,3.83,2021-09-08
161,Seller_00161,Imphal,Karnataka,5.0,2022-09-08
162,Seller_00162,Hyderabad,Rajasthan,4.41,2020-12-30
163,Seller_00163,Delhi,Tamil Nadu,4.15,2023-08-13
164,Seller_00164,Mumbai,Assam,4.76,2022-07-13
165,Seller_00165,Jaipur,Assam,3.73,2022-10-12
166,Seller_00166,Pune,Maharashtra,4.18,2025-06-14
167,Seller_00167,Pune,Tamil Nadu,5.0,2024-01-06
168,Seller_00168,Delhi,Maharashtra,4.67,2021-11-23
169,Seller_00169,Pune,Rajasthan,5.0,2020-01-08
170,Seller_00170,Pune,Delhi,4.02,2024-12-06
171,Seller_00171,Mumbai,Delhi,3.35,2022-11-21
172,Seller_00172,Delhi,Telangana,3.49,2025-11-05
173,Seller_00173,Delhi,Rajasthan,4.03,2022-07-05
174,Seller_00174,Kolkata,Rajasthan,4.04,2022-07-19
175,Seller_00175,Mumbai,Assam,4.42,2025-05-25
176,Seller_00176,Jaipur,Karnataka,4.21,2020-01-21
177,Seller_00177,Guwahati,West Bengal,4.79,2023-07-29
178,Seller_00178,Hyderabad,Karnataka,4.02,2023-02-04
179,Seller_00179,Jaipur,Telangana,4.56,2024-01-08
180,Seller_00180,Imphal,Karnataka,3.95,2020-05-27
181,Seller_00181,Mumbai,Manipur,4.33,2022-11-04
182,Seller_00182,Guwahati,Delhi,4.04,2024-02-11
183,Seller_00183,Imphal,Manipur,4.79,2020-11-11
184,Seller_00184,Kolkata,Delhi,4.57,2024-03-22
185,Seller_00185,Hyderabad,Telangana,3.64,2024-07-26
186,Seller_00186,Guwahati,Delhi,5.0,2024-09-30
187,Seller_00187,Hyderabad,Karnataka,4.5,2021-02-07
188,Seller_00188,Bengaluru,Delhi,4.18,2020-07-02
189,Seller_00189,Jaipur,Manipur,4.56,2021-07-28
190,Seller_00190,Pune,Manipur,3.96,2023-12-25
191,Seller_00191,Jaipur,Delhi,4.4,2022-05-22
192,Seller_00192,Pune,Karnataka,3.37,2020-01-08
193,Seller_00193,Delhi,Assam,4.71,2021-12-16
194,Seller_00194,Chennai,Telangana,4.23,2021-01-27
195,Seller_00195,Mumbai,Delhi,4.72,2024-03-08
196,Seller_00196,Imphal,Delhi,3.52,2024-06-23
197,Seller_00197,Imphal,Telangana,3.62,2025-06-28
198,Seller_00198,Hyderabad,Rajasthan,4.87,2022-09-25
199,Seller_00199,Imphal,Manipur,3.42,2021-10-19
200,Seller_00200,Hyderabad,Karnataka,4.88,2023-07-13
201,Seller_00201,Jaipur,Rajasthan,4.18,2023-03-25
202,Seller_00202,Kolkata,Maharashtra,4.0,2025-05-16
203,Seller_00203,Imphal,Telangana,4.55,2023-12-23
204,Seller_00204,Chennai,Manipur,4.22,2020-04-10
205,Seller_00205,Mumbai,Telangana,3.74,2020-02-12
206,Seller_00206,Hyderabad,Karnataka,4.47,2021-05-22
207,Seller_00207,Mumbai,Tamil Nadu,3.82,2025-04-05
208,Seller_00208,Pune,Karnataka,3.49,2024-03-23
209,Seller_00209,Hyderabad,Karnataka,4.02,2020-05-25
210,Seller_00210,Chennai,West Bengal,3.65,2025-02-12
211,Seller_00211,Guwahati,Assam,4.04,2021-10-04
212,Seller_00212,Imphal,West Bengal,4.83,2021-10-15
213,Seller_00213,Hyderabad,Karnataka,4.65,2022-03-02
214,Seller_00214,Delhi,Tamil Nadu,4.48,2023-06-22
215,Seller_00215,Imphal,Telangana,4.36,2021-08-17
216,Seller_00216,Hyderabad,Manipur,4.81,2020-10-17
217,Seller_00217,Jaipur,Assam,4.62,2021-02-22
218,Seller_00218,Bengaluru,West Bengal,4.4,2024-06-10
219,Seller_00219,Delhi,Karnataka,3.29,2020-03-13
220,Seller_00220,Imphal,Rajasthan,3.31,2023-05-11
221,Seller_00221,Bengaluru,West Bengal,3.23,2022-12-03
222,Seller_00222,Hyderabad,West Bengal,4.63,2022-10-07
223,Seller_00223,Jaipur,Tamil Nadu,4.69,2021-07-23
224,Seller_00224,Hyderabad,Manipur,4.0,2023-09-16
225,Seller_00225,Chennai,Maharashtra,3.85,2021-01-29
226,Seller_00226,Kolkata,Assam,3.74,2022-09-05
227,Seller_00227,Imphal,West Bengal,4.23,2024-03-25
228,Seller_00228,Imphal,Assam,3.82,2023-09-23
229,Seller_00229,Kolkata,West Bengal,4.36,2025-08-28
230,Seller_00230,Jaipur,Manipur,3.93,2022-03-25
231,Seller_00231,Delhi,West Bengal,4.41,2020-12-25
232,Seller_00232,Pune,West Bengal,4.58,2020-02-22
233,Seller_00233,Imphal,Delhi,4.26,2023-11-14
234,Seller_00234,Mumbai,Rajasthan,3.63,2025-06-30
235,Seller_00235,Delhi,Rajasthan,4.65,2023-10-12
236,Seller_00236,Kolkata,Assam,3.03,2025-02-19
237,Seller_00237,Kolkata,Telangana,4.47,2025-08-21
238,Seller_00238,Pune,Maharashtra,5.0,2021-06-26
239,Seller_00239,Bengaluru,Rajasthan,3.87,2025-05-27
240,Seller_00240,Guwahati,Maharashtra,3.58,2025-08-02
241,Seller_00241,Kolkata,Rajasthan,3.34,2023-12-22
242,Seller_00242,Hyderabad,Maharashtra,4.34,2021-06-10
243,Seller_00243,Bengaluru,West Bengal,4.01,2024-09-07
244,Seller_00244,Guwahati,West Bengal,4.6,2025-05-12
245,Seller_00245,Pune,Tamil Nadu,3.78,2021-04-08
246,Seller_00246,Imphal,Maharashtra,3.84,2022-09-07
247,Seller_00247,Delhi,Telangana,3.89,2021-04-13
248,Seller_00248,Chennai,Assam,4.4,2022-08-25
249,Seller_00249,Jaipur,Delhi,4.01,2022-04-08
250,Seller_00250,Imphal,Delhi,4.62,2025-04-27
251,Seller_00251,Pune,Delhi,4.76,2023-12-24
252,Seller_00252,Mumbai,Telangana,3.7,2024-01-04
253,Seller_00253,Guwahati,Assam,4.56,2022-11-13
254,Seller_00254,Imphal,Telangana,4.33,2021-08-27
255,Seller_00255,Chennai,Telangana,3.53,2022-10-13
256,Seller_00256,Kolkata,Maharashtra,3.79,2020-01-21
257,Seller_00257,Imphal,Maharashtra,3.66,2021-12-27
258,Seller_00258,Hyderabad,Tamil Nadu,4.91,2021-07-08
259,Seller_00259,Bengaluru,Manipur,3.98,2021-02-16
260,Seller_00260,Bengaluru,Tamil Nadu,3.9,2023-04-27
261,Seller_00261,Pune,Maharashtra,3.53,2025-10-25
262,Seller_00262,Mumbai,Tamil Nadu,3.93,2022-04-01
263,Seller_00263,Chennai,Delhi,4.92,2025-03-10
264,Seller_00264,Chennai,Rajasthan,3.61,2021-12-10
265,Seller_00265,Imphal,Manipur,4.7,2024-12-29
266,Seller_00266,Bengaluru,Karnataka,3.47,2020-11-05
267,Seller_00267,Jaipur,West Bengal,3.59,2021-12-10
268,Seller_00268,Chennai,Telangana,4.82,2021-05-05
269,Seller_00269,Chennai,Telangana,4.26,2022-06-25
270,Seller_00270,Jaipur,Delhi,3.88,2024-06-15
271,Seller_00271,Chennai,West Bengal,4.23,2023-07-22
272,Seller_00272,Mumbai,Assam,4.54,2021-07-31
273,Seller_00273,Mumbai,Delhi,4.17,2024-04-09
274,Seller_00274,Jaipur,Karnataka,3.9,2020-02-10
275,Seller_00275,Hyderabad,Assam,3.48,2021-12-12
276,Seller_00276,Bengaluru,Telangana,3.7,2024-09-20
277,Seller_00277,Delhi,Delhi,3.72,2025-08-18
278,Seller_00278,Delhi,Telangana,3.33,2020-11-26
279,Seller_00279,Imphal,Telangana,3.69,2024-07-16
280,Seller_00280,Bengaluru,Delhi,3.25,2022-02-12
281,Seller_00281,Delhi,Tamil Nadu,4.49,2022-06-24
282,Seller_00282,Chennai,Manipur,3.33,2025-08-25
283,Seller_00283,Imphal,Maharashtra,3.89,2021-03-24
284,Seller_00284,Kolkata,Delhi,4.57,2025-07-25
285,Seller_00285,Pune,Telangana,4.28,2023-04-16
286,Seller_00286,Delhi,Manipur,4.36,2023-09-19
287,Seller_00287,Jaipur,Maharashtra,3.96,2020-07-01
288,Seller_00288,Pune,Assam,4.05,2021-02-25
289,Seller_00289,Jaipur,Rajasthan,3.96,2021-06-03
290,Seller_00290,Kolkata,Rajasthan,4.38,2024-01-23
291,Seller_00291,Kolkata,Delhi,3.97,2021-05-06
292,Seller_00292,Jaipur,Karnataka,4.58,2024-02-07
293,Seller_00293,Kolkata,Telangana,4.01,2022-08-19
294,Seller_00294,Mumbai,Maharashtra,3.6,2020-07-10
295,Seller_00295,Bengaluru,Delhi,3.79,2023-12-10
296,Seller_00296,Hyderabad,Karnataka,4.16,2025-01-15
297,Seller_00297,Guwahati,West Bengal,3.21,2023-06-22
298,Seller_00298,Jaipur,Tamil Nadu,3.69,2021-05-02
299,Seller_00299,Bengaluru,Telangana,4.07,2021-07-28
300,Seller_00300,Kolkata,Telangana,2.82,2024-11-22
301,Seller_00301,Jaipur,Assam,4.33,2021-10-19
302,Seller_00302,Mumbai,Maharashtra,3.74,2023-01-15
303,Seller_00303,Guwahati,Manipur,5.0,2024-05-08
304,Seller_00304,Bengaluru,Tamil Nadu,5.0,2024-08-01
305,Seller_00305,Chennai,Rajasthan,3.62,2025-08-13
306,Seller_00306,Guwahati,Assam,4.07,2022-04-18
307,Seller_00307,Mumbai,Delhi,4.09,2022-03-22
308,Seller_00308,Pune,Delhi,3.9,2021-07-11
309,Seller_00309,Jaipur,Delhi,4.13,2024-05-05
310,Seller_00310,Kolkata,West Bengal,4.4,2023-03-05
311,Seller_00311,Kolkata,Tamil Nadu,4.57,2020-05-31
312,Seller_00312,Mumbai,Karnataka,3.77,2025-07-25
313,Seller_00313,Delhi,Maharashtra,3.8,2021-10-19
314,Seller_00314,Mumbai,Telangana,4.75,2024-10-08
315,Seller_00315,Kolkata,West Bengal,3.69,2021-08-09
316,Seller_00316,Bengaluru,Rajasthan,3.74,2022-10-17
317,Seller_00317,Bengaluru,Telangana,4.81,2020-10-08
318,Seller_00318,Chennai,Delhi,3.97,2025-06-20
319,Seller_00319,Hyderabad,Rajasthan,4.77,2023-11-11
320,Seller_00320,Chennai,Karnataka,4.04,2021-04-30
321,Seller_00321,Kolkata,Assam,4.07,2025-11-25
322,Seller_00322,Hyderabad,Assam,4.17,2025-10-13
323,Seller_00323,Delhi,West Bengal,3.37,2023-11-13
324,Seller_00324,Kolkata,Assam,4.24,2022-02-20
325,Seller_00325,Bengaluru,Maharashtra,4.41,2024-09-01
326,Seller_00326,Pune,Manipur,4.29,2022-04-06
327,Seller_00327,Guwahati,West Bengal,4.83,2023-08-11
328,Seller_00328,Imphal,Assam,4.55,2025-03-31
329,Seller_00329,Kolkata,Karnataka,4.44,2020-06-01
330,Seller_00330,Chennai,Manipur,4.41,2020-12-03
331,Seller_00331,Chennai,Manipur,3.85,2024-06-20
332,Seller_00332,Hyderabad,Assam,4.73,2024-01-02
333,Seller_00333,Jaipur,Delhi,4.05,2022-01-18
334,Seller_00334,Chennai,Karnataka,3.86,2023-02-24
335,Seller_00335,Jaipur,Manipur,4.89,2022-10-14
336,Seller_00336,Pune,Karnataka,4.51,2020-07-08
337,Seller_00337,Chennai,Assam,3.87,2023-04-15
338,Seller_00338,Delhi,Delhi,3.67,2021-04-30
339,Seller_00339,Delhi,West Bengal,3.7,2021-09-29
340,Seller_00340,Jaipur,Maharashtra,5.0,2023-07-05
341,Seller_00341,Pune,Tamil Nadu,3.53,2021-03-24
342,Seller_00342,Jaipur,Delhi,5.0,2025-12-27
343,Seller_00343,Guwahati,West Bengal,4.12,2024-08-15
344,Seller_00344,Hyderabad,Karnataka,4.05,2022-09-11
345,Seller_00345,Delhi,Manipur,3.85,2020-06-15
346,Seller_00346,Guwahati,Rajasthan,3.98,2021-06-20
347,Seller_00347,Kolkata,Maharashtra,3.89,2020-09-15
348,Seller_00348,Guwahati,Assam,4.7,2021-11-13
349,Seller_00349,Bengaluru,Maharashtra,3.78,2023-08-11
350,Seller_00350,Hyderabad,Assam,4.5,2025-08-05
351,Seller_00351,Jaipur,Rajasthan,3.48,2025-03-01
352,Seller_00352,Kolkata,Manipur,4.39,2021-10-04
353,Seller_00353,Guwahati,Delhi,4.0,2020-06-08
354,Seller_00354,Delhi,Telangana,3.74,2023-02-22
355,Seller_00355,Delhi,Delhi,4.23,2020-10-24
356,Seller_00356,Delhi,Tamil Nadu,4.42,2022-08-25
357,Seller_00357,Mumbai,Manipur,4.67,2023-03-29
358,Seller_00358,Kolkata,Delhi,4.4,2020-12-17
359,Seller_00359,Chennai,West Bengal,4.26,2022-03-18
360,Seller_00360,Imphal,Tamil Nadu,4.88,2024-04-30
361,Seller_00361,Guwahati,Assam,4.08,2020-11-24
362,Seller_00362,Jaipur,Manipur,3.93,2025-06-21
363,Seller_00363,Delhi,Delhi,3.64,2024-12-02
364,Seller_00364,Guwahati,West Bengal,5.0,2023-08-30
365,Seller_00365,Mumbai,Manipur,4.8,2021-03-13
366,Seller_00366,Bengaluru,West Bengal,3.47,2020-07-21
367,Seller_00367,Chennai,Manipur,3.55,2023-08-22
368,Seller_00368,Mumbai,Manipur,3.85,2025-03-13
369,Seller_00369,Kolkata,Karnataka,3.53,2021-04-01
370,Seller_00370,Guwahati,Rajasthan,4.09,2021-11-12
371,Seller_00371,Chennai,Telangana,5.0,2020-08-30
372,Seller_00372,Guwahati,Karnataka,4.95,2021-08-09
373,Seller_00373,Mumbai,West Bengal,4.69,2024-08-06
374,Seller_00374,Hyderabad,Delhi,3.52,2021-09-25
375,Seller_00375,Guwahati,Tamil Nadu,3.91,2025-08-16
376,Seller_00376,Imphal,Telangana,4.82,2024-06-11
377,Seller_00377,Delhi,Maharashtra,5.0,2021-02-21
378,Seller_00378,Bengaluru,Karnataka,3.72,2020-10-08
379,Seller_00379,Chennai,Telangana,4.53,2024-06-25
380,Seller_00380,Hyderabad,Tamil Nadu,4.29,2025-11-07
381,Seller_00381,Kolkata,West Bengal,4.0,2025-08-18
382,Seller_00382,Bengaluru,Tamil Nadu,4.19,2020-01-12
383,Seller_00383,Guwahati,Assam,3.38,2023-07-15
384,Seller_00384,Delhi,Assam,3.91,2020-02-01
385,Seller_00385,Kolkata,Manipur,4.72,2022-05-02
386,Seller_00386,Delhi,Karnataka,3.91,2024-09-04
387,Seller_00387,Kolkata,Tamil Nadu,3.7,2024-03-18
388,Seller_00388,Delhi,Manipur,4.72,2025-07-07
389,Seller_00389,Imphal,Karnataka,4.7,2023-10-08
390,Seller_00390,Kolkata,Karnataka,3.3,2024-07-24
391,Seller_00391,Kolkata,Delhi,4.63,2022-11-13
392,Seller_00392,Bengaluru,Assam,4.34,2023-07-06
393,Seller_00393,Guwahati,Telangana,4.06,2021-08-23
394,Seller_00394,Bengaluru,Maharashtra,4.79,2021-09-23
395,Seller_00395,Guwahati,Maharashtra,4.99,2021-05-20
396,Seller_00396,Jaipur,Manipur,4.13,2024-05-03
397,Seller_00397,Jaipur,Tamil Nadu,4.6,2024-08-08
398,Seller_00398,Guwahati,Rajasthan,3.76,2020-03-13
399,Seller_00399,Mumbai,Rajasthan,4.15,2025-10-27
400,Seller_00400,Kolkata,Telangana,3.01,2020-12-31
401,Seller_00401,Mumbai,Delhi,3.35,2021-06-03
402,Seller_00402,Mumbai,Karnataka,4.37,2022-08-23
403,Seller_00403,Guwahati,Telangana,4.13,2020-05-25
404,Seller_00404,Hyderabad,Rajasthan,4.07,2025-07-27
405,Seller_00405,Delhi,Karnataka,3.54,2022-08-13
406,Seller_00406,Bengaluru,Delhi,4.6,2024-07-18
407,Seller_00407,Bengaluru,Assam,4.28,2020-11-02
408,Seller_00408,Imphal,Manipur,4.58,2023-08-04
409,Seller_00409,Jaipur,Tamil Nadu,3.75,2020-05-12
410,Seller_00410,Mumbai,Maharashtra,3.82,2023-03-20
411,Seller_00411,Delhi,Tamil Nadu,3.66,2021-11-25
412,Seller_00412,Hyderabad,Rajasthan,4.86,2024-07-12
413,Seller_00413,Hyderabad,Telangana,3.86,2024-12-31
414,Seller_00414,Pune,Telangana,3.89,2022-01-06
415,Seller_00415,Pune,Rajasthan,4.08,2025-12-18
416,Seller_00416,Delhi,Delhi,4.46,2022-08-07
417,Seller_00417,Imphal,Delhi,4.22,2023-01-01
418,Seller_00418,Hyderabad,Rajasthan,4.84,2020-03-22
419,Seller_00419,Hyderabad,Maharashtra,3.89,2021-02-20
420,Seller_00420,Hyderabad,Tamil Nadu,3.76,2024-04-05
421,Seller_00421,Jaipur,Maharashtra,4.43,2023-12-06
422,Seller_00422,Guwahati,Rajasthan,3.87,2020-01-19
423,Seller_00423,Kolkata,Assam,4.18,2025-03-16
424,Seller_00424,Mumbai,Maharashtra,4.93,2021-07-24
425,Seller_00425,Hyderabad,Maharashtra,3.75,2021-04-15
426,Seller_00426,Mumbai,Assam,4.55,2022-12-03
427,Seller_00427,Hyderabad,Karnataka,4.27,2023-02-02
428,Seller_00428,Jaipur,Tamil Nadu,3.24,2024-03-22
429,Seller_00429,Mumbai,Tamil Nadu,3.37,2023-04-07
430,Seller_00430,Guwahati,West Bengal,4.16,2025-10-01
431,Seller_00431,Guwahati,Maharashtra,4.6,2021-11-30
432,Seller_00432,Bengaluru,Karnataka,3.33,2021-05-26
433,Seller_00433,Kolkata,Manipur,4.08,2024-05-18
434,Seller_00434,Guwahati,Manipur,4.24,2024-07-26
435,Seller_00435,Chennai,Manipur,4.31,2023-12-26
436,Seller_00436,Kolkata,Delhi,3.97,2022-11-10
437,Seller_00437,Guwahati,Telangana,3.73,2021-09-16
438,Seller_00438,Delhi,Maharashtra,3.41,2020-09-18
439,Seller_00439,Bengaluru,Rajasthan,3.86,2022-03-08
440,Seller_00440,Guwahati,Maharashtra,3.51,2023-11-30
